sf2PPeXQrUA_000000_000010#enc2zh#0 一个男孩踢了一个领域的足球，一个女孩在它之后奔跑
vgia9zM-Tao_000033_000043#enc2zh#4 一位女士削减了她砧板上的一些水果
vgia9zM-Tao_000033_000043#enc2zh#5 一个女人站在她的厨房里的一张桌子前，为别人展示了剪切苹果的正确方法，然后把碎片放在盘子上
vgia9zM-Tao_000033_000043#enc2zh#6 一个人正在使用刀子将苹果切成切片
vgia9zM-Tao_000033_000043#enc2zh#7 一个人在砧板上仔细切割苹果
vgia9zM-Tao_000033_000043#enc2zh#8 一个人用手切成一块苹果，把它们放在托盘中
vgia9zM-Tao_000033_000043#enc2zh#9 一位女士将苹果切成切片并切割切片的末端
SwdKVfwtSQw_000000_000010#enc2zh#0 一个年轻的男孩在摄影师与他谈话时溅在水坑里
SwdKVfwtSQw_000000_000010#enc2zh#1 小孩反复踩踏荆棘水坑
SwdKVfwtSQw_000000_000010#enc2zh#2 一个孩子在令人讨厌的水面上晃动，没有鞋子
SwdKVfwtSQw_000000_000010#enc2zh#3 一个小男孩站在泥里，他踩到了他的脚去玩
SwdKVfwtSQw_000000_000010#enc2zh#4 一个幼儿正在踩着泥泞的泥浆曲线
SwdKVfwtSQw_000000_000010#enc2zh#5 一个年轻的男孩正在泥泞中玩耍，脚踩在水坑里
SwdKVfwtSQw_000000_000010#enc2zh#6 踩在浅水坑里的小小孩
SwdKVfwtSQw_000000_000010#enc2zh#7 一个年轻的男孩踩踏和戏剧在一块红色泥泞的户外水坑里
SwdKVfwtSQw_000000_000010#enc2zh#8 一个赤脚的孩子常设在泥泞的水坑里飞溅他的脚
SwdKVfwtSQw_000000_000010#enc2zh#9 一个小男孩在一个浅水脏水水坑里溅起他的脚
v5UfN6dUVcs_000019_000029#enc2zh#0 一个年轻人在垫子上做一手递推俯卧撑
v5UfN6dUVcs_000019_000029#enc2zh#1 一个男人正在用一只手臂和他在他身后的另一个手臂做新闻
v5UfN6dUVcs_000019_000029#enc2zh#2 一个人在健身房做一个武装俯卧撑
v5UfN6dUVcs_000019_000029#enc2zh#3 在车库健身房里，一个男人表演一手升级
v5UfN6dUVcs_000019_000029#enc2zh#4 做运动的人用一只手伸出
v5UfN6dUVcs_000019_000029#enc2zh#5 一个男人在锻炼房里一只手推车到音乐
v5UfN6dUVcs_000019_000029#enc2zh#6 一个男人在健身房旁的垫子上做一只手俯卧撑
v5UfN6dUVcs_000019_000029#enc2zh#7 一个男人在运动室里正在做一只手俯卧撑到音乐
v5UfN6dUVcs_000019_000029#enc2zh#8 一个人一遍又一遍地武装俯卧撑
v5UfN6dUVcs_000019_000029#enc2zh#9 一个有红色帽子的人在蓝色的垫子上做一个武装俯卧撑
tDmfTtpDF6Q_000333_000343#enc2zh#0 一组玻璃制造商使用专门的工具来形成熔融玻璃的东西
tDmfTtpDF6Q_000333_000343#enc2zh#1 一个男人吹玻璃，而女人拿着一个设备，一个人滚动铁
tDmfTtpDF6Q_000333_000343#enc2zh#2 一个男人在与他人的棍子上努力工作和焊接
tDmfTtpDF6Q_000333_000343#enc2zh#3 玻璃被加热，以便形成为不同的形状
tDmfTtpDF6Q_000333_000343#enc2zh#4 观看一个人在金属杯子转动一个热铁的人
tDmfTtpDF6Q_000333_000343#enc2zh#5 一个男人团队正在锻造和吹一个红色的玻璃杯和谈论它
tDmfTtpDF6Q_000333_000343#enc2zh#6 一个人向橙色加热玻璃并旋转它
tDmfTtpDF6Q_000333_000343#enc2zh#7 一家商店里的三个人，他们正在给玻璃
tDmfTtpDF6Q_000333_000343#enc2zh#8 一个人在玻璃吹气期间使用工具来模具玻璃
tDmfTtpDF6Q_000333_000343#enc2zh#9 在另一个人的帮助下，在设备中形成玻璃
3nTMc2nK_W8_000000_000010#enc2zh#0 一个人确保动物的腿，而另一个人正在修剪毛皮
3nTMc2nK_W8_000000_000010#enc2zh#1 一些人用布料包裹动物蹄子
3nTMc2nK_W8_000000_000010#enc2zh#2 一个人试图通过一些正确的布料切割
3nTMc2nK_W8_000000_000010#enc2zh#3 该人是从动物绷带上切割胶带
3nTMc2nK_W8_000000_000010#enc2zh#4 人类正在使用剪刀来削减某种面料
3nTMc2nK_W8_000000_000010#enc2zh#5 一个人正在将蹄子切开腿被另一个人持有的动物
3nTMc2nK_W8_000000_000010#enc2zh#6 一个人使用工具切割和修剪一块动物的人
3nTMc2nK_W8_000000_000010#enc2zh#7 在谷仓的白天包发动物的女人
3nTMc2nK_W8_000000_000010#enc2zh#8 一个人用剪刀切割身份不明的物体，同时与握住物体的另一个人交谈
3nTMc2nK_W8_000000_000010#enc2zh#9 一个人正在握住动物的腿，而另一个人削减绷带
JPFdgQvqwjI_000328_000338#enc2zh#0 一个女人在描述化妆时用刷子进行化妆
JPFdgQvqwjI_000328_000338#enc2zh#1 一个女孩坐在浴室里，把刷子放在刷子上
JPFdgQvqwjI_000328_000338#enc2zh#2 一个少妇用刷子来应用化妆，同时描述化妆的属性
JPFdgQvqwjI_000328_000338#enc2zh#3 一个女人在圆形动作中使用化妆刷来将她的基础应用于她的脸部
JPFdgQvqwjI_000328_000338#enc2zh#4 一名年轻女子正在展示不测试动物的化妆产品
JPFdgQvqwjI_000328_000338#enc2zh#5 一位女士在她的脸上刷上妆，同时描述它是由
JPFdgQvqwjI_000328_000338#enc2zh#6 应用构成的女孩对她的脸并谈论产品
JPFdgQvqwjI_000328_000338#enc2zh#7 一个女人坐在水槽前面，在谈话时用刷子施加基础
JPFdgQvqwjI_000328_000338#enc2zh#8 一个女孩正在展示如何申请化妆和谈论她的化妆如何环保
JPFdgQvqwjI_000328_000338#enc2zh#9 一个女人用刷子施加化妆时对相机说话
qwLeYfEOrnU_000000_000010#enc2zh#0 一个男人聚集在雪球中雪，并在一个女人扔它
qwLeYfEOrnU_000000_000010#enc2zh#1 一个男人挑着雪地，扔到它，然后搬到树上触摸叶子
qwLeYfEOrnU_000000_000010#enc2zh#2 有些人在雪地里出来，一个人捡起一些雪，把它扔在女人身上
qwLeYfEOrnU_000000_000010#enc2zh#3 一个男人让一个松散的雪球，并将其投掷在另一个人身上
qwLeYfEOrnU_000000_000010#enc2zh#4 一个戴着眼镜的男人拿起雪球，并在另一个人身上投掷它
qwLeYfEOrnU_000000_000010#enc2zh#5 一个男人在一个女人扔雪球，而他们在滑雪胜地
qwLeYfEOrnU_000000_000010#enc2zh#6 一个男人制作雪球，把它扔在一个女孩
qwLeYfEOrnU_000000_000010#enc2zh#7 一个男人舀雪，扔一个女人的雪球
qwLeYfEOrnU_000000_000010#enc2zh#8 一个男人捡到雪，把它投掷在另一个人身上
qwLeYfEOrnU_000000_000010#enc2zh#9 几个人在扔雪球时说话
VHFuW1yFqXY_000120_000130#enc2zh#0 一个人正在解释如何在iPhone上发送短信
VHFuW1yFqXY_000120_000130#enc2zh#1 一个人正在展示如何正确发短信并在手机上发送消息
VHFuW1yFqXY_000120_000130#enc2zh#2 妇女正在展示每个人如何发短信
VHFuW1yFqXY_000120_000130#enc2zh#3 一位女士展示和教学如何编写消息以及如何将其发送给收件人
VHFuW1yFqXY_000120_000130#enc2zh#4 一个女人演示如何使用智能手机键入和发送消息
VHFuW1yFqXY_000120_000130#enc2zh#5 一个人在他们手机上尝试发短信时谈话
VHFuW1yFqXY_000120_000130#enc2zh#6 一个人通过在消息框中键入键盘，如何通过键入键盘发送短信
VHFuW1yFqXY_000120_000130#enc2zh#7 一个人按下单元上的按钮，就像发送短信一样
VHFuW1yFqXY_000120_000130#enc2zh#8 一个女人看着她的手机，描述了如何发短信
VHFuW1yFqXY_000120_000130#enc2zh#9 一个人用手指在手机上键入
h6_FiX5vO_U_000009_000019#enc2zh#0 两个年轻女孩站在蹦床上练习同步的手jive
h6_FiX5vO_U_000009_000019#enc2zh#1 两个年轻女孩站在蹦床上，玩帕蒂蛋糕游戏并互相交谈
h6_FiX5vO_U_000009_000019#enc2zh#2 两个年轻的女孩站在蹦床上拍手拍手游戏
h6_FiX5vO_U_000009_000019#enc2zh#3 两个孩子站在蹦床上，玩帕蒂蛋糕游戏
h6_FiX5vO_U_000009_000019#enc2zh#4 站在一个蹦床上的两个年轻女孩扮演帕蒂蛋糕的比赛
h6_FiX5vO_U_000009_000019#enc2zh#5 两个小女孩在蹦床上玩手绘游戏
h6_FiX5vO_U_000009_000019#enc2zh#6 两个年轻的女孩站在蹦床上，在一起唱歌时拍摄儿童手拍手游戏
h6_FiX5vO_U_000009_000019#enc2zh#7 蹦床门上的两个女孩吟唱和手势常规
h6_FiX5vO_U_000009_000019#enc2zh#8 一个蹦床上的两个女孩扮演类似帕蒂蛋糕的比赛
h6_FiX5vO_U_000009_000019#enc2zh#9 两个女孩在外面的封闭式蹦床上玩帕蒂蛋糕
kh6KufiQW5A_000097_000107#enc2zh#0 一个男人正在使用耙子将长银色的东西拉出湖中
kh6KufiQW5A_000097_000107#enc2zh#1 两名男子在水中趟，一个人试图用一个奇怪的工具捕捉一些东西
kh6KufiQW5A_000097_000107#enc2zh#2 两个年长的男人钓鱼在当前站在大湖中
kh6KufiQW5A_000097_000107#enc2zh#3 短裤的两个男人在户外的水中站在水中，然后一个刺激着一个刺破的东西，在它末端晃去了
kh6KufiQW5A_000097_000107#enc2zh#4 使用黑耙的两名男子为蛤蜊挤出浅水
kh6KufiQW5A_000097_000107#enc2zh#5 他的寒风冒险的大海中的老人并没有太多成功
kh6KufiQW5A_000097_000107#enc2zh#6 一个男人正在水中使用临时网来潜在捕鱼
kh6KufiQW5A_000097_000107#enc2zh#7 一个男人在水中举行耙子抬起并拉出它
kh6KufiQW5A_000097_000107#enc2zh#8 老绅士舀出一个耙子看起来脱离水，看看他抓住了什么
kh6KufiQW5A_000097_000107#enc2zh#9 一个男人在水中站立膝盖，拿着耙子，而另一个人在他旁边看着
c25IqRBGKlA_000004_000014#enc2zh#0 三个年轻人站在一个矩形浴缸里踩在绿色的湿物质上
c25IqRBGKlA_000004_000014#enc2zh#1 几个人在谈话时正在容器中踩葡萄
c25IqRBGKlA_000004_000014#enc2zh#2 一群人在一个大垃圾箱里踩葡萄
c25IqRBGKlA_000004_000014#enc2zh#3 一群人进入一个绿色葡萄的增速，将它们粉碎成葡萄酒
c25IqRBGKlA_000004_000014#enc2zh#4 多个人在一个装满各种水果的盒子里踩着
c25IqRBGKlA_000004_000014#enc2zh#5 几个赤脚人们走进一个容器中，用脚碾碎葡萄
c25IqRBGKlA_000004_000014#enc2zh#6 游客练习葡萄踩的美术，似乎有一个美好的时光
c25IqRBGKlA_000004_000014#enc2zh#7 一群人站在一个盒子里，用脚砸碎葡萄
c25IqRBGKlA_000004_000014#enc2zh#8 一群葡萄里面的葡萄里面的人扔进果汁
c25IqRBGKlA_000004_000014#enc2zh#9 一个男人和两个女孩在脚下捣毁葡萄
Ip0yJAkp7Pw_000119_000129#enc2zh#0 一个舞蹈队的妇女在传统拉丁美洲服装到传统音乐
Ip0yJAkp7Pw_000119_000129#enc2zh#1 几个女性在一个舞台上跳舞，流动的连衣裙，鞭打它们
Ip0yJAkp7Pw_000119_000129#enc2zh#2 来自舞蹈学校的女孩正在进行民间舞蹈
Ip0yJAkp7Pw_000119_000129#enc2zh#3 在一个舞台上，一群服装服装正在进行舞蹈
Ip0yJAkp7Pw_000119_000129#enc2zh#4 一群女性在舞台上跳舞
Ip0yJAkp7Pw_000119_000129#enc2zh#5 紫色和白色连衣裙的一群女性表演了舞蹈舞蹈，作为在背景中播放的乐器音乐
Ip0yJAkp7Pw_000119_000129#enc2zh#6 妇女在舞台上跳舞，抱着和旋转穿着
Ip0yJAkp7Pw_000119_000129#enc2zh#7 穿着白色穿着白色的一群女性正在舞台上跳舞西班牙裔音乐
Ip0yJAkp7Pw_000119_000129#enc2zh#8 民间服装的一群舞者在舞台上跳到音乐
Ip0yJAkp7Pw_000119_000129#enc2zh#9 一群白色连衣裙的女性在舞台上跳舞
t-YDm1WRdEY_000143_000153#enc2zh#0 一个年轻女子在玩曲棍球型游戏的领域
t-YDm1WRdEY_000143_000153#enc2zh#1 一个女人使用曲棍球棍引导球通过一系列锥体
t-YDm1WRdEY_000143_000153#enc2zh#2 一个女孩正在使用一根棍子在地板上推一个球然后击球
t-YDm1WRdEY_000143_000153#enc2zh#3 一个女性场曲棍球运动员在锥体之间导航，然后反复射击球
t-YDm1WRdEY_000143_000153#enc2zh#4 一位女运动员在室内领域执行各种领域曲棍球练习
t-YDm1WRdEY_000143_000153#enc2zh#5 使用领域曲棍球棍子的妇女在室内领域移动一个球
t-YDm1WRdEY_000143_000153#enc2zh#6 一名年轻女子在绿色表面周围移动一个小球，然后击中它
t-YDm1WRdEY_000143_000153#enc2zh#7 我的女人正在进行曲棍球空间内的钻
t-YDm1WRdEY_000143_000153#enc2zh#8 一个女孩正在练习运动，因为她在一个领域钻井
t-YDm1WRdEY_000143_000153#enc2zh#9 一个女孩在练习领域曲棍球户内做练习
hZ34EcXYuIU_000002_000012#enc2zh#0 在一条街道的街道上，一个男人在轮椅上滚下来，狗拉他
hZ34EcXYuIU_000002_000012#enc2zh#1 骑在他们的轮椅上骑在街上的人和狗和皮带附着在它上面
hZ34EcXYuIU_000002_000012#enc2zh#2 一个男人正在骑着他的狗骑在轮椅上，皮带绑在轮子前面
hZ34EcXYuIU_000002_000012#enc2zh#3 一个人在轮椅上移动，一只狗和他在一起
hZ34EcXYuIU_000002_000012#enc2zh#4 服务狗正在帮助一个人的轮椅
hZ34EcXYuIU_000002_000012#enc2zh#5 一个花哨的轮椅上的一个男人走了他的狗，被绑在轮椅上
hZ34EcXYuIU_000002_000012#enc2zh#6 一个男人用狗带着椅子向椅子滚下来
hZ34EcXYuIU_000002_000012#enc2zh#7 一个男人在轮椅上散步他的狗在一个有篷车公园
hZ34EcXYuIU_000002_000012#enc2zh#8 一个男人，狗附着在他的轮椅前轮上是一条路
hZ34EcXYuIU_000002_000012#enc2zh#9 轮椅上的那个男人走在轮椅上的时候走他的狗
WFG38qMr2Fk_000021_000031#enc2zh#0 米老鼠衬衫中的一名年轻女子向我们展示了如何将绳子死于绳索
WFG38qMr2Fk_000021_000031#enc2zh#1 一个女孩解释了如何将绳子绑在一个结
WFG38qMr2Fk_000021_000031#enc2zh#2 一个女人在腰部周围的腰带上绑一根绳子
WFG38qMr2Fk_000021_000031#enc2zh#3 一个年轻的女孩展示了将弓弦结作为指导的正确方法
WFG38qMr2Fk_000021_000031#enc2zh#4 一个年轻女子绑在她穿着的线束上的绳子
WFG38qMr2Fk_000021_000031#enc2zh#5 一个年轻的女孩，显示如何制作花式结
WFG38qMr2Fk_000021_000031#enc2zh#6 一个女人将一根绳子与腰部周围的腰带连接起来
WFG38qMr2Fk_000021_000031#enc2zh#7 一名年轻女子正在使用一根绳子绑在一起并将它连接到腰部周围的东西
WFG38qMr2Fk_000021_000031#enc2zh#8 一个女人把一块长袍绑在她的腰带上
WFG38qMr2Fk_000021_000031#enc2zh#9 一位女士在外面慢慢地摆脱自己的绳索
nTK7fjMfbSA_000002_000012#enc2zh#0 一个骑着摩托车越野赛自行车的人试图跳下斜坡和落下
nTK7fjMfbSA_000002_000012#enc2zh#1 一辆骑自行车上的男人爬到山上然后从他的自行车上掉下来
nTK7fjMfbSA_000002_000012#enc2zh#2 跳跃与自行车的年轻人慢动作动作在山坡和翻滚到底部
nTK7fjMfbSA_000002_000012#enc2zh#3 一个男孩正在用他的自行车做一个伎俩，对地面翻滚
nTK7fjMfbSA_000002_000012#enc2zh#4 一个人在骑自行车的山上骑自行车并在山上滚下来时，一个人变得空气。
nTK7fjMfbSA_000002_000012#enc2zh#5 一个男人骑着骑自行车然后脱掉
nTK7fjMfbSA_000002_000012#enc2zh#6 一个男孩试图跳到他的自行车上，但他跌倒了
nTK7fjMfbSA_000002_000012#enc2zh#7 一个男人被认为试图在自行车上做诡计，但最终失败和堕落
nTK7fjMfbSA_000002_000012#enc2zh#8 一辆骑自行车的人沿着陡峭的山丘，摔倒在山上
nTK7fjMfbSA_000002_000012#enc2zh#9 一个年轻的家伙跳了一座大山丘，然后失去控制并在底部坠毁
GCtPDRrBBc0_000000_000010#enc2zh#0 在硬件商店的柜台的一个人炫耀一个工具
GCtPDRrBBc0_000000_000010#enc2zh#1 一个男人在和女士交谈时摆弄了电动工具
GCtPDRrBBc0_000000_000010#enc2zh#2 一个人试图拧下电动工具的一部分
GCtPDRrBBc0_000000_000010#enc2zh#3 一个穿着黑色T恤的人在他手中拿着电动工具枪
GCtPDRrBBc0_000000_000010#enc2zh#4 一个人在他的车间调整电钻时拍摄自己
GCtPDRrBBc0_000000_000010#enc2zh#5 一个黑色t恤的男人松开了一个黄色钻的前面
GCtPDRrBBc0_000000_000010#enc2zh#6 一个男人用他们的双手改变工具的一部分
GCtPDRrBBc0_000000_000010#enc2zh#7 一名男子拿着一个工具并试图拧下弯曲的银尖
GCtPDRrBBc0_000000_000010#enc2zh#8 一个男人钻头并讲述如何使用钻头以及如何放入
GCtPDRrBBc0_000000_000010#enc2zh#9 一个男人展示了如何使用他持有的钻头的一部分
nmefMgzgISw_000020_000030#enc2zh#0 一大群女人正在与同样的动作一起跳舞
nmefMgzgISw_000020_000030#enc2zh#1 一大群女性在室外公园跳舞
nmefMgzgISw_000020_000030#enc2zh#2 几个女性在表演协调舞蹈常规之外
nmefMgzgISw_000020_000030#enc2zh#3 许多女性在外面的一个大团体中跳舞
nmefMgzgISw_000020_000030#enc2zh#4 一大群女性在阳光下在户外跳舞
nmefMgzgISw_000020_000030#enc2zh#5 随着有人大喊大叫，一大群人被视为友好跳舞，然后他们转过身来
nmefMgzgISw_000020_000030#enc2zh#6 一大群人正在户外设置进行锻炼类
nmefMgzgISw_000020_000030#enc2zh#7 一大群女性在户外跳舞跳舞
nmefMgzgISw_000020_000030#enc2zh#8 一大群女人在一起做尊巴，一个女人指导他们
nmefMgzgISw_000020_000030#enc2zh#9 一群庞大的人在公共道路上玩音乐跳舞
0GWr1EV6ZuY_000106_000116#enc2zh#0 一名妇女在背后的墙上的明信片巧妙地演奏低音吉他和烦恼
0GWr1EV6ZuY_000106_000116#enc2zh#1 一个长长的黑发的年轻女子正在玩低音吉他
0GWr1EV6ZuY_000106_000116#enc2zh#2 一个长长的黑头发的女孩坐在她的吉他上玩曲调
0GWr1EV6ZuY_000106_000116#enc2zh#3 一名年轻女子在电贝司上录制音乐
0GWr1EV6ZuY_000106_000116#enc2zh#4 一个女孩正在占据占据房间的乐器
0GWr1EV6ZuY_000106_000116#enc2zh#5 一个房间里面的一个人自己在相机前玩低音
0GWr1EV6ZuY_000106_000116#enc2zh#6 一个女孩正在弹吉他，同时看着她面前的东西
0GWr1EV6ZuY_000106_000116#enc2zh#7 一个女孩在跳舞和音乐时扮演吉他
0GWr1EV6ZuY_000106_000116#enc2zh#8 一名年轻女性在一个卧室里单独玩低音吉他的笔记
0GWr1EV6ZuY_000106_000116#enc2zh#9 弹吉他的一位小姐看仪器在一个房间
syI2EiICWOM_000001_000011#enc2zh#0 猫服装的厨师在干扰音乐时烹饪早餐
syI2EiICWOM_000001_000011#enc2zh#1 一个人正在烹饪香肠，然后转身看到一个猫头和眼镜的人
syI2EiICWOM_000001_000011#enc2zh#2 一个人在听音乐和烹饪香肠链接时戴着猫面具
syI2EiICWOM_000001_000011#enc2zh#3 一个人在平底锅中准备香肠链接，然后显示猫的性格
syI2EiICWOM_000001_000011#enc2zh#4 在厨房烹饪香肠唱歌与猫面具的音乐
syI2EiICWOM_000001_000011#enc2zh#5 在一个厨房里，有人在锅里煎炸了香肠，然后它将某人展示为虎人
syI2EiICWOM_000001_000011#enc2zh#6 香肠在一个穿着一只大猫面具的男人煮熟的煎锅
syI2EiICWOM_000001_000011#enc2zh#7 穿着狼面具的男人正在烹饪一些香肠
syI2EiICWOM_000001_000011#enc2zh#8 穿着动物面具的人在煎锅中烹饪香肠
syI2EiICWOM_000001_000011#enc2zh#9 香肠是由猫伪装的人煮熟
EGQxtiReVnE_000014_000024#enc2zh#0 一个年轻的男孩骑着一个狭窄的两个车道道路滑板
EGQxtiReVnE_000014_000024#enc2zh#1 一个人正在快速走，而滑板在分开的道路上
EGQxtiReVnE_000014_000024#enc2zh#2 滑板和一只脚的前部显示在路面上的山丘上
EGQxtiReVnE_000014_000024#enc2zh#3 有人以高速速度滑下一条铺好的道路
EGQxtiReVnE_000014_000024#enc2zh#4 快速地骑在小山的长线板关闭
EGQxtiReVnE_000014_000024#enc2zh#5 滑板上的一个人在一条路上迅速走下坡路
EGQxtiReVnE_000014_000024#enc2zh#6 一个人在听到风的时候骑着长长的板
EGQxtiReVnE_000014_000024#enc2zh#7 滑板在一条空的路的一个人溜冰板
EGQxtiReVnE_000014_000024#enc2zh#8 一个人在高速公路中间骑滑板
EGQxtiReVnE_000014_000024#enc2zh#9 有人在弯曲的道路上很快沿着山丘很快滑板
tsnbD70rddU_000024_000034#enc2zh#0 一个年轻的女孩嘲笑另一个在网球场上的人
tsnbD70rddU_000024_000034#enc2zh#1 在网球场上，一个年轻的女孩和她的球拍一起散开网球
tsnbD70rddU_000024_000034#enc2zh#2 一个青少年的女孩走过网球场，击中网球坐在地上，当有人在背景中笑了
tsnbD70rddU_000024_000034#enc2zh#3 一个年轻的女孩走过一个网球场，拿着一个网球拍，然后她撞到了地上的球
tsnbD70rddU_000024_000034#enc2zh#4 一个女孩走过一个网球场，携带一个网球拍，她用来在地上推动一个网球，而网球网另一侧的另一个人面向她
tsnbD70rddU_000024_000034#enc2zh#5 一个年轻的女孩正在打网球，并通过击球结束时击球地在地上返回球
tsnbD70rddU_000024_000034#enc2zh#6 拿着网球拍的女孩通过球拍到另一侧的球
tsnbD70rddU_000024_000034#enc2zh#7 网球场上的女人向篮网与她的球拍移动一个球
tsnbD70rddU_000024_000034#enc2zh#8 一个女人在一个女孩击中网球时笑了
tsnbD70rddU_000024_000034#enc2zh#9 一个孩子走过一个网球场，在一个女人笑的时候击中地面上的网球
IZmQ1ndVmyc_000004_000014#enc2zh#0 很多婴儿鸭子环绕着一只大鸭子，一个扔到一个男人，因为他扔了面包
IZmQ1ndVmyc_000004_000014#enc2zh#1 一群鸟类在一个大池塘里逐渐蔓延
IZmQ1ndVmyc_000004_000014#enc2zh#2 一群鸭子在水中和人们在他们身上投掷食物
IZmQ1ndVmyc_000004_000014#enc2zh#3 天鹅和鸭子在水中，一个人将面包扔给他们
IZmQ1ndVmyc_000004_000014#enc2zh#4 Skan和一些海鸥在上面的水中被示出了游泳
IZmQ1ndVmyc_000004_000014#enc2zh#5 一个人喂养漂浮在水中的鸟类
IZmQ1ndVmyc_000004_000014#enc2zh#6 当人们看时，一群水鸟在池塘里游泳
IZmQ1ndVmyc_000004_000014#enc2zh#7 几个天鹅和鸭子漂浮在码头下方的水中，然后一个人将面包屑扔进水中
IZmQ1ndVmyc_000004_000014#enc2zh#8 一个人抛出面包以喂鸭子在下面的水中游泳
IZmQ1ndVmyc_000004_000014#enc2zh#9 作为天鹅和其他鸟类在湖中漂浮，一个人从上面喂它们
fzuw0Wp6dF8_000003_000013#enc2zh#0 一个人在表演技巧时撇开并在海洋上冲浪
fzuw0Wp6dF8_000003_000013#enc2zh#1 一个女人在海洋中，她正在海浪上冲浪
fzuw0Wp6dF8_000003_000013#enc2zh#2 一个男人的教程，在空中执行董事会的棋子
fzuw0Wp6dF8_000003_000013#enc2zh#3 一名男子在风筝冲浪时表现出跳跃并去除他的董事会
fzuw0Wp6dF8_000003_000013#enc2zh#4 一个男人被空中的帆拉，在海中跳过大波浪
fzuw0Wp6dF8_000003_000013#enc2zh#5 一个男人在一个超人板上执行技巧，在水中
fzuw0Wp6dF8_000003_000013#enc2zh#6 一个男人在海洋上飞过海洋，一个翼悬着悬挂在空中
fzuw0Wp6dF8_000003_000013#enc2zh#7 与小冲浪板上的人的促销视频，降落伞跳下波浪
fzuw0Wp6dF8_000003_000013#enc2zh#8 当他附着在骑波浪的冲浪板上时，一个男人被帆在空中悬挂在空中
fzuw0Wp6dF8_000003_000013#enc2zh#9 一个人是天空冲浪，让大跳出水
5AJUbDC0YwY_000102_000112#enc2zh#0 一个人蘸一个锅进入水中，然后从锅中排出水
5AJUbDC0YwY_000102_000112#enc2zh#1 一个碗用于筛选棕色水域中的筛选材料
5AJUbDC0YwY_000102_000112#enc2zh#2 一个男人在水中坐着一些沙子寻找矿物质
5AJUbDC0YwY_000102_000112#enc2zh#3 在试图在污垢中找到某些东西时，一个人在平底锅里撒上污垢
5AJUbDC0YwY_000102_000112#enc2zh#4 个人正在筛分污垢和岩石来找到宝藏
5AJUbDC0YwY_000102_000112#enc2zh#5 一个男人正在使用一个孔，在它里面筛选到一些泥泞的水
5AJUbDC0YwY_000102_000112#enc2zh#6 一双手淘汰了一杯水的一些矿物
5AJUbDC0YwY_000102_000112#enc2zh#7 在烹饪之前，有人似乎正在洗一些米饭
5AJUbDC0YwY_000102_000112#enc2zh#8 一个有锅内漂洗物质大桶的人
5AJUbDC0YwY_000102_000112#enc2zh#9 有人在一个充满水的浴缸上驼背，他们正在使用碟子弄成一种像金子一样的某种物体
YMvyLtafd6Q_000115_000125#enc2zh#0 医疗保健工作者正在在患者卷起患者的床单上更换床单
YMvyLtafd6Q_000115_000125#enc2zh#1 护士用患者在床边矫直一张纸张
YMvyLtafd6Q_000115_000125#enc2zh#2 一个男人在蓝色床垫上放出一块白色布料
YMvyLtafd6Q_000115_000125#enc2zh#3 一个女人在医院病床的床垫上展开一张白纸
YMvyLtafd6Q_000115_000125#enc2zh#4 一个女人在桌子上折叠一张床单，在桌子上睡觉，在一个男人和一个女人从一段距离交谈时
YMvyLtafd6Q_000115_000125#enc2zh#5 一名护士固定在医院的患者的床单
YMvyLtafd6Q_000115_000125#enc2zh#6 戴着手套的女人在医院婴儿床上折叠一块布
YMvyLtafd6Q_000115_000125#enc2zh#7 一个男人戴着手套在医院病床上折叠白板
YMvyLtafd6Q_000115_000125#enc2zh#8 一个男人打开并展开一张白纸放在床上
YMvyLtafd6Q_000115_000125#enc2zh#9 有人在医院睡觉，但不知道如何展开一张纸
L9xSjSgDamc_000000_000010#enc2zh#0 小孩站在起居室里，踢足球
L9xSjSgDamc_000000_000010#enc2zh#1 幼儿踢球并踢球，而一个成年人声称什么也不知道
L9xSjSgDamc_000000_000010#enc2zh#2 一个小宝贝男孩在客厅里踢足球
L9xSjSgDamc_000000_000010#enc2zh#3 小男孩说他踢球穿过房间
L9xSjSgDamc_000000_000010#enc2zh#4 当他的小孩踢足球时，男人很惊讶
L9xSjSgDamc_000000_000010#enc2zh#5 一个小球播放给他的球
L9xSjSgDamc_000000_000010#enc2zh#6 一个小孩正在跳跃和踢，而一个成年人笑着笑着他做的事情
L9xSjSgDamc_000000_000010#enc2zh#7 尿布中的婴儿跳到地板上，开始走路
L9xSjSgDamc_000000_000010#enc2zh#8 一个小宝贝男孩在电话里踢了一个足球
L9xSjSgDamc_000000_000010#enc2zh#9 一个孩子踢足球并击中房间里面的东西
mwKmET7GFNU_000022_000032#enc2zh#0 高尔夫球场上的绅士正在将高尔夫球放入一个洞里
mwKmET7GFNU_000022_000032#enc2zh#1 看到一个人描述了一个帮助你的高尔夫球的系统
mwKmET7GFNU_000022_000032#enc2zh#2 一个男人说话，然后将高尔夫球放入高尔夫俱乐部的洞中
mwKmET7GFNU_000022_000032#enc2zh#3 一个男人正在谈论一个特定的高尔夫球元素，将改善高尔夫球手的目标
mwKmET7GFNU_000022_000032#enc2zh#4 一个人站在高尔夫球场上讨论一个高尔夫球工具
mwKmET7GFNU_000022_000032#enc2zh#5 一个男人谈到高尔夫产品，以帮助改善你的投放
mwKmET7GFNU_000022_000032#enc2zh#6 一个男人的一个人正在描述和展示一个新的换绿系统
