3c0hLqxvSSI_000000_000010#enc2zh#0 在不同的变异的平台上的一个人俯卧撑
4Ha63VZFRus_000024_000034#enc2zh#6 制作披萨的人，但它的制作逆转了被取出的成分
4Ha63VZFRus_000024_000034#enc2zh#7 一个人逐一脱掉披萨的物品
4Ha63VZFRus_000024_000034#enc2zh#8 一个人用手去除披萨的几个浇头，然后使用勺子酱酱
4Ha63VZFRus_000024_000034#enc2zh#9 手表显示在反向播放的视频中从面团中制作比萨饼
I4y5UwvqaqI_000011_000021#enc2zh#0 一个人在剧烈跳舞，而音乐在背景中玩耍
I4y5UwvqaqI_000011_000021#enc2zh#1 黑暗衣服的一个人在户外进行旋转和踢踢舞蹈
I4y5UwvqaqI_000011_000021#enc2zh#2 一名男子穿着黑色衣服在公园里跳舞，因为音乐在背景中播放
I4y5UwvqaqI_000011_000021#enc2zh#3 一个男人在砖地板上展示，在跳舞和踢的时候踢球
I4y5UwvqaqI_000011_000021#enc2zh#4 一个男人在室外公园和练习舞蹈动作
I4y5UwvqaqI_000011_000021#enc2zh#5 一个人在砖庭上表达跳舞到音乐
I4y5UwvqaqI_000011_000021#enc2zh#6 一个男人在公共公园做一个非常活跃的快乐舞蹈
I4y5UwvqaqI_000011_000021#enc2zh#7 一个男人在公园里快速跳舞到快速的波尔卡音乐
I4y5UwvqaqI_000011_000021#enc2zh#8 一个男人在一个在公园般的设置内的混凝土块表面上的宽腿舞蹈运动
I4y5UwvqaqI_000011_000021#enc2zh#9 一个男人在一个镇广场的真正快速的脚跳舞
Hv1r7rgekCw_000006_000016#enc2zh#0 一个女人正在玩一袋管子，因为相机灯闪烁
Hv1r7rgekCw_000006_000016#enc2zh#1 一个女人正在玩袋皮皮脂，人们正在拍照
Hv1r7rgekCw_000006_000016#enc2zh#2 一个女人在封闭区域的袋子管上扮演惊人的恩典
Hv1r7rgekCw_000006_000016#enc2zh#3 一个女人在她家里练习袋皮皮脂
Hv1r7rgekCw_000006_000016#enc2zh#4 妇女在露营者看起来像个看似观众的武器
Hv1r7rgekCw_000006_000016#enc2zh#5 一个女人正在一群人面前演奏乐器
Hv1r7rgekCw_000006_000016#enc2zh#6 一位女士在一套袋皮上玩惊人的恩典
Hv1r7rgekCw_000006_000016#enc2zh#7 一个在客厅里的女人正在玩武器
Hv1r7rgekCw_000006_000016#enc2zh#8 一件绿色衬衫的女人正在玩一个红色的袋皮
Hv1r7rgekCw_000006_000016#enc2zh#9 一个女人站着玩武器
0fmNdKx4cdI_000003_000013#enc2zh#0 一群人让一个年轻人喝点小杯子
0fmNdKx4cdI_000003_000013#enc2zh#1 有人抓住杯子嘲笑喝它，然后喝它
0fmNdKx4cdI_000003_000013#enc2zh#2 一个男人看看他的杯子然后喝一杯
0fmNdKx4cdI_000003_000013#enc2zh#3 几个人在酒吧，其中一个人尝试了一杯新饮料
0fmNdKx4cdI_000003_000013#enc2zh#4 穿在室内设置的一个男人一件polo衫喝饮料
0fmNdKx4cdI_000003_000013#enc2zh#5 一个男人拿着杯子然后喝一杯
0fmNdKx4cdI_000003_000013#enc2zh#6 一个男人拿着一个纸杯杯，然后慢慢喝酒，而人们等待他对饮料的反应
0fmNdKx4cdI_000003_000013#enc2zh#7 蓝色衬衫的一个男人在浅蓝色杯子里喝了一种液体
0fmNdKx4cdI_000003_000013#enc2zh#8 一个男人认为小饮料容器，然后在另一个男人的嘲笑下喝它
0fmNdKx4cdI_000003_000013#enc2zh#9 一个男人和其他人站在一个黑暗的房间里，他采取了一个纸杯的啜饮
-_hu_Ld-ddk_000007_000017#enc2zh#0 一个女人在实际剥离之前，讨论如何煮沸土豆
-_hu_Ld-ddk_000007_000017#enc2zh#1 一个女人演示如何在厨房水槽前面准备土豆
-_hu_Ld-ddk_000007_000017#enc2zh#2 拿着土豆然后开始切割土豆时谈话
-_hu_Ld-ddk_000007_000017#enc2zh#3 女人切割土豆，解释如何削减它们
-_hu_Ld-ddk_000007_000017#enc2zh#4 有人展示了如何剥掉一个已经煮沸的土豆并解释
-_hu_Ld-ddk_000007_000017#enc2zh#5 一个女人在她的厨房里用刀子剥皮土豆
-_hu_Ld-ddk_000007_000017#enc2zh#6 一名年轻女子用刀拿出煮土豆的皮肤
-_hu_Ld-ddk_000007_000017#enc2zh#7 拿着土豆和刀子的妇女解释了如何用开水剥土豆
-_hu_Ld-ddk_000007_000017#enc2zh#8 一个女人展示了水槽里一壶水的土豆剥落
-_hu_Ld-ddk_000007_000017#enc2zh#9 一个女人展示如何用刀子和一罐水剪一壶土豆
CG6jvCuZyDg_000002_000012#enc2zh#0 一个婴儿在旁边躺在旁边看电视
CG6jvCuZyDg_000002_000012#enc2zh#1 一个婴儿女孩在卧室躺在床上时手表电视，然后转动和微笑
CG6jvCuZyDg_000002_000012#enc2zh#2 一个小女孩放在她的毯子上，盯着电视滚动，微笑着她的妈妈
CG6jvCuZyDg_000002_000012#enc2zh#3 一个婴儿躺在他们的一侧看电视
CG6jvCuZyDg_000002_000012#enc2zh#4 一个孩子正在躺在沙发上看电视
CG6jvCuZyDg_000002_000012#enc2zh#5 一点小孩正在铺设在电视上观看并列入音乐
CG6jvCuZyDg_000002_000012#enc2zh#6 一个小女孩躺在沙发上，看着孩子们在电视上跳舞
CG6jvCuZyDg_000002_000012#enc2zh#7 一个小女孩正在躺在沙发上看电视
CG6jvCuZyDg_000002_000012#enc2zh#8 一个小孩在长沙发观看电视的毯子放置在一条毯子上
CG6jvCuZyDg_000002_000012#enc2zh#9 一个孩子在看电视节目时躺在沙发上，然后抬起来笑
nEV0pNS02G8_000059_000069#enc2zh#0 一个人使用一对剪刀修剪动物的爪子
nEV0pNS02G8_000059_000069#enc2zh#1 一个人有快船和剪切他们的狗或狗脚趾甲
nEV0pNS02G8_000059_000069#enc2zh#2 一个人小心地剪断躺在地上的狗的钉子
nEV0pNS02G8_000059_000069#enc2zh#3 两个人一起工作，用剪报装置剪成狗的脚趾甲
nEV0pNS02G8_000059_000069#enc2zh#4 有人拿着指甲钳并试图剪成狗的指甲
nEV0pNS02G8_000059_000069#enc2zh#5 一个人正在削减狗钉子，而狗耐心地坐着，让它发生
nEV0pNS02G8_000059_000069#enc2zh#6 作为良好美容的一部分，狗们抓住他的脚趾钉子
nEV0pNS02G8_000059_000069#enc2zh#7 一个人拿着一只狗爪，使用狗脚趾指甲钳剪成狗指甲
nEV0pNS02G8_000059_000069#enc2zh#8 一个人抱着动物的典当，而另一个人正在用快船剪刀
nEV0pNS02G8_000059_000069#enc2zh#9 一只猫正在用工具修剪爪子
bm8etqEqbGk_000002_000012#enc2zh#0 一群人在摇滚音乐会上，莫什坑开始开放
bm8etqEqbGk_000002_000012#enc2zh#1 人们在外面的摇滚音乐会中猛扑出来的音乐
bm8etqEqbGk_000002_000012#enc2zh#2 人们在摩西坑的音乐会上跳了一下
bm8etqEqbGk_000002_000012#enc2zh#3 人们在一场音乐会上彼此靠近宿舍跳舞
bm8etqEqbGk_000002_000012#enc2zh#4 伟大的人群在看阳光和阳光的天气
bm8etqEqbGk_000002_000012#enc2zh#5 一个体育场中的大型人群上下跳跃并搬到音乐
bm8etqEqbGk_000002_000012#enc2zh#6 一群人在敲打他们的头和欢呼
bm8etqEqbGk_000002_000012#enc2zh#7 一群人在一个户外音乐会上摇摆，开始做一个莫什坑
bm8etqEqbGk_000002_000012#enc2zh#8 一群人正在跳舞，享受音乐
bm8etqEqbGk_000002_000012#enc2zh#9 人们跳舞到一个坚硬的摇滚露天音乐会的音乐
ctk0SJX19VQ_000066_000076#enc2zh#0 走进苹果园的人通过一个木牌和缩小在苹果树
ctk0SJX19VQ_000066_000076#enc2zh#1 一辆车停在果园和人们检查树的树木
ctk0SJX19VQ_000066_000076#enc2zh#2 作为相机谈话的人的声音更接近站在苹果园的人
ctk0SJX19VQ_000066_000076#enc2zh#3 一个人在一个领域中间，另一个人走向他们
ctk0SJX19VQ_000066_000076#enc2zh#4 一个人在苹果园的树上行走
ctk0SJX19VQ_000066_000076#enc2zh#5 一个人是在树木繁茂的地区录制个人的视频
ctk0SJX19VQ_000066_000076#enc2zh#6 相机扫描外部，然后缩放到树枝上
ctk0SJX19VQ_000066_000076#enc2zh#7 一个大彩绘的红色木苹果和粉笔板坐在有果园的一个木箱
ctk0SJX19VQ_000066_000076#enc2zh#8 一个人正在树上走在田野里
ctk0SJX19VQ_000066_000076#enc2zh#9 他正在走过果园的人员电影
e0A_h4wNUWc_000058_000068#enc2zh#0 一群年轻人聚集在一起，看着这个家伙表演霹雳舞
e0A_h4wNUWc_000058_000068#enc2zh#1 一群孩子都在看一个男孩打破跳舞
e0A_h4wNUWc_000058_000068#enc2zh#2 一个男孩在一群人面前的硬木地板上跳舞
e0A_h4wNUWc_000058_000068#enc2zh#3 一群人在舞池上看着一个男人打破舞蹈
e0A_h4wNUWc_000058_000068#enc2zh#4 在工作室里面的几个人面前的男孩突破
e0A_h4wNUWc_000058_000068#enc2zh#5 一个人在被人群包围的木地板上表演休息舞蹈
e0A_h4wNUWc_000058_000068#enc2zh#6 一个孩子在舞蹈中跳舞，而一群人周围嗨和欢呼
e0A_h4wNUWc_000058_000068#enc2zh#7 一个男人在一群年轻人面前闯入
e0A_h4wNUWc_000058_000068#enc2zh#8 一个人在跳舞时跳舞，而一群人为他而欢呼
e0A_h4wNUWc_000058_000068#enc2zh#9 一个人在地板上跳舞，同时被一群人包围
eC7LWBi-KaY_000046_000056#enc2zh#0 一名年轻女子谈论篮球证书，她握着她的手
eC7LWBi-KaY_000046_000056#enc2zh#1 一个女孩举起纸证书告诉我们它和什么是
eC7LWBi-KaY_000046_000056#enc2zh#2 一名年轻女子在排练书面演讲时指的是她的笔记
eC7LWBi-KaY_000046_000056#enc2zh#3 穿着一件蓝色礼服的卷发的女孩拿起文凭
eC7LWBi-KaY_000046_000056#enc2zh#4 一名年轻女子手里拿着一张白色的证书，并将演讲说演讲，第一个她说的是关于枪支的第二个关于篮球
eC7LWBi-KaY_000046_000056#enc2zh#5 一个女孩展示了一个奖励并解释它的奖项
eC7LWBi-KaY_000046_000056#enc2zh#6 一个女孩正在谈论体育和枪支权，同时持有证书
eC7LWBi-KaY_000046_000056#enc2zh#7 一个女孩站在一张纸上，谈论演讲
eC7LWBi-KaY_000046_000056#enc2zh#8 一个女孩在家庭内部房间发表演讲，同时举起证书
eC7LWBi-KaY_000046_000056#enc2zh#9 一个女孩站立并在谈论它时持有证书
5dX6L6Gbum0_000000_000010#enc2zh#0 一群足球运动员有一个团体会议
5dX6L6Gbum0_000000_000010#enc2zh#1 在分开之前，一个领域的曲棍球队在一个领域分组
5dX6L6Gbum0_000000_000010#enc2zh#2 一部电视剧，展示了一个挤满了讨论他们的下一步举动的运动队
5dX6L6Gbum0_000000_000010#enc2zh#3 有人在电视上看着一场长矛队的游戏，其中团队处于困境
5dX6L6Gbum0_000000_000010#enc2zh#4 大学曲棍球队的电视观视图，因为他们蜷缩在9 7场比赛结束时蜷缩起来
5dX6L6Gbum0_000000_000010#enc2zh#5 在恢复播放之前，一支球员们对某些说明抱有抱决
5dX6L6Gbum0_000000_000010#enc2zh#6 一群人在体育比赛中挤在一起
5dX6L6Gbum0_000000_000010#enc2zh#7 目前正在玩游戏的团队聚集在一起快速讨论
5dX6L6Gbum0_000000_000010#enc2zh#8 在电视上录制了一支曲棍球队的大型挤困境
5dX6L6Gbum0_000000_000010#enc2zh#9 曲棍球球员团队蜷缩在比赛后聊天并谈谈
r5OnbF_8hhk_000011_000021#enc2zh#0 一个男人正在教导如何用针和螺纹缝制皮革
r5OnbF_8hhk_000011_000021#enc2zh#1 一个人正在使用金属销用绳子缝合在一起的物体
r5OnbF_8hhk_000011_000021#enc2zh#2 一个男人通过皮革缝制螺纹，同时解释过程
r5OnbF_8hhk_000011_000021#enc2zh#3 一个男人在使用针穿过皮革补丁时讲述
r5OnbF_8hhk_000011_000021#enc2zh#4 一个人被显示通过一块木材
r5OnbF_8hhk_000011_000021#enc2zh#5 一个男人穿过棕色皮革穿孔
r5OnbF_8hhk_000011_000021#enc2zh#6 一个男人通过皮革拉线并解释他在做什么
r5OnbF_8hhk_000011_000021#enc2zh#7 做演示用针和螺纹的人
r5OnbF_8hhk_000011_000021#enc2zh#8 一个男人演示如何缝制一块皮革
r5OnbF_8hhk_000011_000021#enc2zh#9 一个男人穿过一个物体的洞，同时解释他正在做的事情
mLTfQO1Qh8s_000054_000064#enc2zh#0 随着音乐扮演一个人涂上两个金属饰品，类似龙，并开始拿着工具来夹住碎片
mLTfQO1Qh8s_000054_000064#enc2zh#1 有人涂料，然后使用钳子来做一些珠宝
mLTfQO1Qh8s_000054_000064#enc2zh#2 一个女人是绘画珠宝，然后用钳子收紧金属戒指
mLTfQO1Qh8s_000054_000064#enc2zh#3 配件涂在蓝色和金色，并在整个面边呈现
mLTfQO1Qh8s_000054_000064#enc2zh#4 珠宝制造商正在制作金银龙手镯
mLTfQO1Qh8s_000054_000064#enc2zh#5 一个人画龙形珠宝并加入它
mLTfQO1Qh8s_000054_000064#enc2zh#6 用刷子画一些东西然后显示两个金属龙
mLTfQO1Qh8s_000054_000064#enc2zh#7 有人正在制作一个看起来像龙的手镯，是多彩的
mLTfQO1Qh8s_000054_000064#enc2zh#8 有人正在使用工具和音乐的龙型金属腕带正在播放
mLTfQO1Qh8s_000054_000064#enc2zh#9 一个女人清洁和炫耀珠宝，同时关闭夹子
daR79WG9-vA_000225_000235#enc2zh#0 一个男人在健身房做武术，通过打破他周围的一个木箱和其他武术家欢呼
daR79WG9-vA_000225_000235#enc2zh#1 空手道锦标赛的男人用拳头打破了几块悬浮的板
daR79WG9-vA_000225_000235#enc2zh#2 空手道演奏者的视频显示人突破了许多级别的胶合板
daR79WG9-vA_000225_000235#enc2zh#3 当他用赤手溜射木头时，该男子正在进行展览
daR79WG9-vA_000225_000235#enc2zh#4 在健身房，黑暗衬衫的家伙击中堆积在砖上的物体，他们也分手了，人群欢呼声
daR79WG9-vA_000225_000235#enc2zh#5 垫子上的一个人用手在别人面前击中大量的木头
daR79WG9-vA_000225_000235#enc2zh#6 一个男人在观众面前跳起来然后用手打破一堆两块木材一半
daR79WG9-vA_000225_000235#enc2zh#7 一个人正在建造一块木头，然后他粉碎它
daR79WG9-vA_000225_000235#enc2zh#8 一个男人用手打破板，从观众中获取一轮掌声和吹口哨
daR79WG9-vA_000225_000235#enc2zh#9 一个男人在垫子上，空手道剁了一堆董事会
3HX_SRKqFHU_000062_000072#enc2zh#0 一个人使用五颜六色的笔来写作草图字母
3HX_SRKqFHU_000062_000072#enc2zh#1 书法家正在使用不同的彩色钢笔来写一个词
3HX_SRKqFHU_000062_000072#enc2zh#2 一个人练习用两种风格的字母f写作撰写词的生命
3HX_SRKqFHU_000062_000072#enc2zh#3 一个人正在使用不同的颜色在排列的纸上写一个花哨的剧本
3HX_SRKqFHU_000062_000072#enc2zh#4 用羽毛笔练习所定义的书法作品
3HX_SRKqFHU_000062_000072#enc2zh#5 一个人在一张纸上绘制了一词的生活
3HX_SRKqFHU_000062_000072#enc2zh#6 个人在衬里纸上练习整齐地写作
3HX_SRKqFHU_000062_000072#enc2zh#7 一个人在一张纸上尝试不同类型的书法
3HX_SRKqFHU_000062_000072#enc2zh#8 一个人正在使用标记来在纸上制作一些印刷品
3HX_SRKqFHU_000062_000072#enc2zh#9 一支笔在蓝色到L然后一支红色的笔增加了一个花哨的f
sJWMp5R0M6A_000001_000011#enc2zh#0 一个人在陡峭的雪坡下滑雪
sJWMp5R0M6A_000001_000011#enc2zh#1 一个人独自滑雪雪山顶部
sJWMp5R0M6A_000001_000011#enc2zh#2 一个人在山顶上，然后开始滑下它
sJWMp5R0M6A_000001_000011#enc2zh#3 有人在落下一座大型陡峭的雪覆盖的山上
sJWMp5R0M6A_000001_000011#enc2zh#4 一个人在雪山上滑下山丘
sJWMp5R0M6A_000001_000011#enc2zh#5 一个人在一个雪山下滑雪，然后转身
sJWMp5R0M6A_000001_000011#enc2zh#6 滑雪者沿着斜坡和跳跃行驶
sJWMp5R0M6A_000001_000011#enc2zh#7 在积雪的山上，滑雪者开始以极快的速度滑下斜坡
sJWMp5R0M6A_000001_000011#enc2zh#8 沿着陡峭的山坡滑雪的人狭小缺少岩石
sJWMp5R0M6A_000001_000011#enc2zh#9 有人在滑雪板上滑下一座雪山
-d_oTAmUrII_000000_000010#enc2zh#0 一个年轻的男孩跑来跳跃并踢双脚，悬挂在慢动作中的沙袋
-d_oTAmUrII_000000_000010#enc2zh#1 一个男孩在慢动作中跳起一袋
-d_oTAmUrII_000000_000010#enc2zh#2 一个人跳进空气，做一些空手道踢
-d_oTAmUrII_000000_000010#enc2zh#3 男孩慢动作双击一下黑色冲孔
-d_oTAmUrII_000000_000010#enc2zh#4 一个男人的慢动作场景跑到沙袋和踢它
-d_oTAmUrII_000000_000010#enc2zh#5 运动年轻人在健身房的一个沙袋中拍摄飞行
-d_oTAmUrII_000000_000010#enc2zh#6 一个人跑起来，在一个沙袋上踢了两脚
-d_oTAmUrII_000000_000010#enc2zh#7 在慢动作中，一个男人跳在一个冲孔袋里，用脚击中它
-d_oTAmUrII_000000_000010#enc2zh#8 一个人以慢动作跑步，双脚踢重袋
-d_oTAmUrII_000000_000010#enc2zh#9 一个男人在一个dojo，跳跃并踢一个拳击袋
4-nreXODutA_000068_000078#enc2zh#0 一个男人猛满了一个玻璃窗，另一个击球与球拍击球
4-nreXODutA_000068_000078#enc2zh#1 两名男子在球场上播放壁球，而在背景中听到球的声音击中墙壁的声音
4-nreXODutA_000068_000078#enc2zh#2 一个男人接近球场的玻璃墙把他的手放在上面，然后回到玩壁球
4-nreXODutA_000068_000078#enc2zh#3 两名男子正在玩壁球，在说得分后，他们几次击球
4-nreXODutA_000068_000078#enc2zh#4 在一个壁球场上，两名男子在比赛中互相参与
4-nreXODutA_000068_000078#enc2zh#5 两个年轻人在室内壁球场，开始玩
4-nreXODutA_000068_000078#enc2zh#6 两个男人玩南瓜，这是一个室内壁球比赛
4-nreXODutA_000068_000078#enc2zh#7 两名男子在球场上举行南瓜，而相机男子则呼唤得分
4-nreXODutA_000068_000078#enc2zh#8 一个停止玩耍，而不是再次开始玩篮球与另一个年轻人
4-nreXODutA_000068_000078#enc2zh#9 2名男子在一个壁球场上撞到墙上的球
Y2uP9qimkmY_000000_000010#enc2zh#0 两个年轻女孩在公园显示舞蹈动作
Y2uP9qimkmY_000000_000010#enc2zh#1 在公园里，两个女人正在参与江南风格的舞蹈
Y2uP9qimkmY_000000_000010#enc2zh#2 随着音乐剧的同时，两个女人在同一时间做同样的舞蹈
Y2uP9qimkmY_000000_000010#enc2zh#3 站在外面的两个女孩对音乐进行舞蹈
Y2uP9qimkmY_000000_000010#enc2zh#4 两名女性在公园里面临着相机，并在背景中扮演歌曲
Y2uP9qimkmY_000000_000010#enc2zh#5 两个女孩对古玩的歌曲进行编排舞蹈
Y2uP9qimkmY_000000_000010#enc2zh#6 两名年轻女性在康南风格的舞蹈上拍摄
Y2uP9qimkmY_000000_000010#enc2zh#7 几个妇女站在彼此旁边有太阳镜
Y2uP9qimkmY_000000_000010#enc2zh#8 两个人站在外面，然后哑剧和舞蹈宏行风格
Y2uP9qimkmY_000000_000010#enc2zh#9 两位小姐听音乐挥舞着手和穿过它们
UEmJRByMG6s_000071_000081#enc2zh#0 似乎是一个门窥视用于向人们展示旧时代在斯莱克斯的歌舞时播放
UEmJRByMG6s_000071_000081#enc2zh#1 通过不同的方法蒙太奇的人们沿着雪山旅行
UEmJRByMG6s_000071_000081#enc2zh#2 一群人滑雪在可操纵的雪板上的一座小山
UEmJRByMG6s_000071_000081#enc2zh#3 一名滑雪者使用一个板，带有转向手柄操纵斜坡
UEmJRByMG6s_000071_000081#enc2zh#4 显示了某种用途杆，并在斜坡上滑雪的几个人
UEmJRByMG6s_000071_000081#enc2zh#5 一个人正在滑雪与滑雪的自行车放心
UEmJRByMG6s_000071_000081#enc2zh#6 各种各样的人是滑雪板和滑雪山的山丘
UEmJRByMG6s_000071_000081#enc2zh#7 从泡沫看，我们可以看到人们滑下山上覆盖的山丘
UEmJRByMG6s_000071_000081#enc2zh#8 滑雪缆车经营着一个男人骑着董事会用手柄下山，然后滑雪上的一位女士回头
UEmJRByMG6s_000071_000081#enc2zh#9 一个男人骑滑雪自行车下雪斜坡和滑雪板上的女人
b4FIQL0xioQ_000347_000357#enc2zh#0 当人们走过去时，一个人正在弹吉他并在走廊里唱歌
b4FIQL0xioQ_000347_000357#enc2zh#1 一个男人站在一个走廊里弹吉他和唱歌
b4FIQL0xioQ_000347_000357#enc2zh#2 一个女人正在弹吉他，在走廊里唱一首歌
b4FIQL0xioQ_000347_000357#enc2zh#3 一个男人正在弹吉他，在走廊里唱歌，而其他人则走路
b4FIQL0xioQ_000347_000357#enc2zh#4 两个男人在地铁里玩吉他和麦克风
b4FIQL0xioQ_000347_000357#enc2zh#5 一个男人在与麦克风和吉他的走廊里表演
b4FIQL0xioQ_000347_000357#enc2zh#6 两人在人们走过时扮演吉他和一个男人唱歌中的麦克风
b4FIQL0xioQ_000347_000357#enc2zh#7 两个音乐家在走在长长的走廊时，玩吉他招待过人
b4FIQL0xioQ_000347_000357#enc2zh#8 一群人走过一个男人穿着猫王和弹吉他
b4FIQL0xioQ_000347_000357#enc2zh#9 在一个走廊里，人们正在扮演他们的吉他和唱歌，而传门在致谢中看着他们
LTotRp7uWIs_000042_000052#enc2zh#0 非常擅长为其他人提供地毯的人
LTotRp7uWIs_000042_000052#enc2zh#1 地毯装置的广告在其中展示了家庭安装地毯的房间里的男人
LTotRp7uWIs_000042_000052#enc2zh#2 一位商业显示一些男人在房间里铺设地毯，然后是一个年轻女子从推销员购买一些地毯
LTotRp7uWIs_000042_000052#enc2zh#3 工作在房间里的人更换地毯一个人在书桌上交谈与拿着孩子的妇女
LTotRp7uWIs_000042_000052#enc2zh#4 男人在一个带有婴儿的女人之前安装地毯，从办公室买另一个男人
LTotRp7uWIs_000042_000052#enc2zh#5 两名男子正在滚动并在房间内安装地毯，同时客户与经理谈话
LTotRp7uWIs_000042_000052#enc2zh#6 这个地毯商店商业显示地毯安装在工作中
LTotRp7uWIs_000042_000052#enc2zh#7 地毯商店的广告显示一个人放下地毯
LTotRp7uWIs_000042_000052#enc2zh#8 两名男子剪裁修剪并适合新地毯，然后是一个男人和一个女人在办公室的电脑上谈话
LTotRp7uWIs_000042_000052#enc2zh#9 几个人在一个房间里铺设了地毯的地板
ptdAw8U0CLY_000000_000010#enc2zh#0 一个女人站在树前，一个男孩开始爬上它
ptdAw8U0CLY_000000_000010#enc2zh#1 一个男孩开始爬过树枝
ptdAw8U0CLY_000000_000010#enc2zh#2 女性和男性在树木繁茂的地区外，女性开始谈话，男性开始爬树
ptdAw8U0CLY_000000_000010#enc2zh#3 一个十几岁的男孩和女孩正在享受乐趣时爬树
ptdAw8U0CLY_000000_000010#enc2zh#4 两个人爬​​上一对夫妇树枝的顶部
ptdAw8U0CLY_000000_000010#enc2zh#5 一个女人接近一棵树，然后让一个人来开始爬上它
ptdAw8U0CLY_000000_000010#enc2zh#6 一个女人和她的朋友在户外爬树
ptdAw8U0CLY_000000_000010#enc2zh#7 两个人站在树附近，正试图爬树
ptdAw8U0CLY_000000_000010#enc2zh#8 一个女孩和男孩试图弄清楚如何爬过分支机构
ptdAw8U0CLY_000000_000010#enc2zh#9 两个孩子在谈话和互相嘲笑时缩放了一棵树枝
ZZ1m75L6Aaw_000035_000045#enc2zh#0 一个小提琴的男人在麦克风前面玩
ZZ1m75L6Aaw_000035_000045#enc2zh#1 衣服的一个年轻人在麦克风前面玩小提琴独奏
ZZ1m75L6Aaw_000035_000045#enc2zh#2 穿着衣服的一个年轻人在小提琴上播放一个冷戏歌曲
ZZ1m75L6Aaw_000035_000045#enc2zh#3 衣服的一个男人在大型玻璃窗旁边玩小提琴
ZZ1m75L6Aaw_000035_000045#enc2zh#4 穿着黑色西装和领带的男人坐着播放弦乐器可能是一个小提琴
ZZ1m75L6Aaw_000035_000045#enc2zh#5 一个人在船附近的外面玩小提琴
ZZ1m75L6Aaw_000035_000045#enc2zh#6 坐在高层房间时，一个男人正在玩小提琴
ZZ1m75L6Aaw_000035_000045#enc2zh#7 穿着衣服的男人俯瞰城市天际线的大窗户扮演小提琴
ZZ1m75L6Aaw_000035_000045#enc2zh#8 一个衣服的男人巧妙地扮演一个大窗户前的小提琴
ZZ1m75L6Aaw_000035_000045#enc2zh#9 穿着衣服的男人在旁边旁边玩小提琴
09sRrneWLuA_000012_000022#enc2zh#0 有人在一张纸上使用夏普追踪数字
09sRrneWLuA_000012_000022#enc2zh#1 一个人在用墨水追踪纸上的数字
09sRrneWLuA_000012_000022#enc2zh#2 追踪数字在一张纸的人与黑标记
09sRrneWLuA_000012_000022#enc2zh#3 一个人使用刷笔在一张纸上追踪数字
09sRrneWLuA_000012_000022#enc2zh#4 此人正在使用黑色标记来使用标记的序号纸张指南来练习书法
09sRrneWLuA_000012_000022#enc2zh#5 有人使用不同的彩色标记来从工作表中跟踪书法数字
09sRrneWLuA_000012_000022#enc2zh#6 一个人正在用标记的一张纸上追踪一系列数字
09sRrneWLuA_000012_000022#enc2zh#7 一个孩子正在追踪他的数字，在一张纸上用黑色标记
09sRrneWLuA_000012_000022#enc2zh#8 一个孩子正在复制一张用黑笔的纸上写的数字
09sRrneWLuA_000012_000022#enc2zh#9 一个人在一张用笔的纸上追踪数字
QEWH30i14hA_000001_000011#enc2zh#0 条纹猫眼睛闭合在室外长凳上倾斜，享受宠物在脑部
QEWH30i14hA_000001_000011#enc2zh#1 猫在外面坐在外面，同时有人抚摸头
QEWH30i14hA_000001_000011#enc2zh#2 一只猫躺在长凳上，睁着眼睛，因为女人擦了几个时间
QEWH30i14hA_000001_000011#enc2zh#3 一只猫喜欢被橙色公园长椅上的人养
QEWH30i14hA_000001_000011#enc2zh#4 一只猫咪正在宠爱，他绝对爱它
QEWH30i14hA_000001_000011#enc2zh#5 一个人抚摸着一只猫的头部坐在替补席上
QEWH30i14hA_000001_000011#enc2zh#6 一个人展示他们在坐着的时候宠物
QEWH30i14hA_000001_000011#enc2zh#7 人类正在抚摸一只灰色的猫，而他躺在橙色的长凳上，享受它
QEWH30i14hA_000001_000011#enc2zh#8 虎斑猫躺在长凳上，而女人们在头上轻轻地宠物
QEWH30i14hA_000001_000011#enc2zh#9 当他被宠爱和抚摸着他的头顶时，猫是咕噜声
R7N1sEFUzJo_000032_000042#enc2zh#0 一个男孩试图用牙刷清洁肮脏的鞋子
R7N1sEFUzJo_000032_000042#enc2zh#1 显示了一个白色的网球鞋，一个男孩描述了他们的清洁
R7N1sEFUzJo_000032_000042#enc2zh#2 一个孩子正在清洁他们的健身鞋，放入鞋带
R7N1sEFUzJo_000032_000042#enc2zh#3 一个男孩从一对运动鞋中去除鞋带
R7N1sEFUzJo_000032_000042#enc2zh#4 在一个小孩的房间里录制视频来展示他的追随者如何清洁一个肮脏的白色运动鞋
R7N1sEFUzJo_000032_000042#enc2zh#5 一个男孩，有关如何用牙刷清洁运动鞋的说明
R7N1sEFUzJo_000032_000042#enc2zh#6 一个女人正在展示如何用鞋带花边
R7N1sEFUzJo_000032_000042#enc2zh#7 清洗他的培训师的一只小伙子用牙刷
R7N1sEFUzJo_000032_000042#enc2zh#8 少年使用白色鞋子抛光清洁他的鞋子
R7N1sEFUzJo_000032_000042#enc2zh#9 显示在地板上清洁一双鞋子的最佳方式的男孩
0jbMrrJ9yXA_000000_000010#enc2zh#0 两个女孩笑着尖叫，同时在地板上摔跤
0jbMrrJ9yXA_000000_000010#enc2zh#1 两个十几岁的女孩在客厅地板上摔跤彼此尖叫和笑
