7CN3ENwfMBE_000096_000106#zh#0 一个穿着黑色衣服的人和另一个拿着纸在说话。
2i7exCgd_j0_000388_000398#zh#9 一位养蜂人拿着一个长铁片打开了蜂箱，里面有许多蜜蜂飞了起来。
-2JgjPsy4Eo_000077_000087#zh#0 一个舞台上一个长头发的女子正在跳肚皮舞。
-2JgjPsy4Eo_000077_000087#zh#1 一人在舞台上面跟随着音乐舞蹈来回抖动。
-2JgjPsy4Eo_000077_000087#zh#2 一个长发的女人正在跟着音乐跳舞。
-2JgjPsy4Eo_000077_000087#zh#3 一个长发穿着演出服的女人在舞台上表演。
-2JgjPsy4Eo_000077_000087#zh#4 舞台上一个长发女郎穿着红色裙子在跳舞。
-2JgjPsy4Eo_000077_000087#zh#5 这位才华横溢的女性正在舞台上跳肚皮舞。
-2JgjPsy4Eo_000077_000087#zh#6 一个穿橙色服装的美女在比赛中表演肚皮舞。
-2JgjPsy4Eo_000077_000087#zh#7 女人穿着文化服饰跳着性感的肚皮舞。
-2JgjPsy4Eo_000077_000087#zh#8 一个长发的女人在观众面前跳肚皮舞。
-2JgjPsy4Eo_000077_000087#zh#9 一个穿粉色衣服的年轻女孩正在舞台上跳舞。
sFWnb5LJEbw_000000_000010#zh#0 两个长头发女人穿着粉色裤子在桌子前面跳舞。
sFWnb5LJEbw_000000_000010#zh#1 两位漂亮的外国小女孩随着音乐跳着美丽的舞蹈。
sFWnb5LJEbw_000000_000010#zh#2 在餐馆前，两个小女孩跟随着音乐声跳舞。
sFWnb5LJEbw_000000_000010#zh#3 两个身穿浅色衣服的人在深色的地板上跳舞。
sFWnb5LJEbw_000000_000010#zh#4 房间里，两个穿着同样服装的小女孩在跳舞。
sFWnb5LJEbw_000000_000010#zh#5 两个女孩在一家餐馆里随着音乐跳舞。
sFWnb5LJEbw_000000_000010#zh#6 两个年轻女孩身着服装，随着后台演奏的音乐表演舞蹈动作。
sFWnb5LJEbw_000000_000010#zh#7 两个穿着舞蹈衣服的女孩在一个房间里从一边跳到另一边, 然后在一个波浪形的动作中移动着自己的胳膊。
sFWnb5LJEbw_000000_000010#zh#8 一群孩子们一起跳舞看话剧, 一群人正在观看他们。
sFWnb5LJEbw_000000_000010#zh#9 两个女孩在酒吧前的木地板上齐声跳舞。
ZV6RfQC-pEk_000205_000215#zh#0 一群人在观看一个金色头发的女人跳舞。
ZV6RfQC-pEk_000205_000215#zh#1 一个穿着黑色纱裙的女人，正在表演着跳舞。
ZV6RfQC-pEk_000205_000215#zh#2 一个穿着裙子的女人正在随着音乐节奏跳舞。
ZV6RfQC-pEk_000205_000215#zh#3 在一个昏暗的房间里，一群人坐在一起，看一个女人跳舞。
ZV6RfQC-pEk_000205_000215#zh#4 一个穿着长裙的女人在跳着肚皮舞。跳舞女人四周的椅子上坐满了人。
ZV6RfQC-pEk_000205_000215#zh#5 一个女人在人群面前随着音乐跳肚皮舞。
ZV6RfQC-pEk_000205_000215#zh#6 一位年轻的女孩在一群人面前表演跳肚皮舞。
ZV6RfQC-pEk_000205_000215#zh#7 一个女人站在台上在众人面前跳肚皮舞。
ZV6RfQC-pEk_000205_000215#zh#8 一个女人正在一家小咖啡馆里表演肚皮舞。
ZV6RfQC-pEk_000205_000215#zh#9 在室内，一个穿着裙子的女子正在随着音乐跳舞。
IJefZYtjVJk_000035_000045#zh#0 一个女人跟着音乐的节奏在舞台上跳肚皮舞。
IJefZYtjVJk_000035_000045#zh#1 一名女子在灯光变换的舞台上随着音乐热舞。
IJefZYtjVJk_000035_000045#zh#2 性感的女子在舞台上表演柔美的舞蹈。
IJefZYtjVJk_000035_000045#zh#3 一个长发的人正在地面上翩翩起舞。
IJefZYtjVJk_000035_000045#zh#4 一个穿着裙子的女人正在台子上跳舞，舞台上灯光闪烁。
IJefZYtjVJk_000035_000045#zh#5 一个女人穿着少量衣服在舞台中跳舞。
IJefZYtjVJk_000035_000045#zh#6 一个女人正在一个漆黑的舞台上跳着肚皮舞，然后灯亮了起来。
IJefZYtjVJk_000035_000045#zh#7 一个衣着暴露的人在跳来跳去，唱着一首异国语调。
IJefZYtjVJk_000035_000045#zh#8 一个性感的女性在舞台上跳着性感的肚皮舞。
IJefZYtjVJk_000035_000045#zh#9 在一个灯光比较暗的场所，一个女子正在跳着舞蹈。
ECnjxQOVXXk_000001_000011#zh#0 一个女人在卧推，一个男人在旁边帮助她。
ECnjxQOVXXk_000001_000011#zh#1 一个穿橙色背心的男人正在帮助一个穿着黑色衣服的女人举重练习。
ECnjxQOVXXk_000001_000011#zh#2 一个男人正在指导一个女人做举杠铃运动。
ECnjxQOVXXk_000001_000011#zh#3 一个身穿红色背心的男子在帮着一个女子练习举杠铃。
ECnjxQOVXXk_000001_000011#zh#4 一个穿着黑色上衣的人正在教练的辅助下练习力量。
ECnjxQOVXXk_000001_000011#zh#5 在 教练给出的指示下，一个人在练习举重。
ECnjxQOVXXk_000001_000011#zh#6 在举重教练员的帮助下练习举重的人。
ECnjxQOVXXk_000001_000011#zh#7 一个女人在一个男人的帮助下做举重。
ECnjxQOVXXk_000001_000011#zh#8 一个男人正在帮助一个女人在健身房内举重。
ECnjxQOVXXk_000001_000011#zh#9 一个人躺在长椅上做卧推，一个男人在旁边辅助并鼓励她。
hh07FAbHKdw_000072_000082#zh#0 一个男人在健身房里躺在健身器材上举杠铃。
hh07FAbHKdw_000072_000082#zh#1 一个男人在健身房进行卧推杠铃的运动。
hh07FAbHKdw_000072_000082#zh#2 一个穿着短裤的人在房间里做健身运动。
hh07FAbHKdw_000072_000082#zh#3 一个穿着深色衣服的人在室内举着杠铃做运动。
hh07FAbHKdw_000072_000082#zh#4 室内有一个男人躺在某种健身器材上面双手举着杠铃。
hh07FAbHKdw_000072_000082#zh#5 一个人坐在健身房的长凳上，举着一大块重物，然后把它放在支架上。
hh07FAbHKdw_000072_000082#zh#6 一个穿着黑色短裤的人在健身房里举重。
hh07FAbHKdw_000072_000082#zh#7 一个男人正在健身房里做着倾斜杠铃的运动。
hh07FAbHKdw_000072_000082#zh#8 一名身穿运动服的男子正在健身房进行健身。
hh07FAbHKdw_000072_000082#zh#9 当音乐响起的时候，一个男人正在一个健身房举起卧推。
PrgMAD18usY_000019_000029#zh#0 一个女人在瑜伽垫子上做高难度的倒立动作。
PrgMAD18usY_000019_000029#zh#1 一个女人正在房间的健身毯上练习倒立。
PrgMAD18usY_000019_000029#zh#2 一个女的趴在自己家中的地上练习倒立。
PrgMAD18usY_000019_000029#zh#3 一个女子在室内趴在地板上两个脚竖了起来。
PrgMAD18usY_000019_000029#zh#4 在地毯上，一个女人在用手臂做倒立。
PrgMAD18usY_000019_000029#zh#5 一个女人在厨房的蓝色垫子上做瑜伽姿势。
PrgMAD18usY_000019_000029#zh#6 一个年轻的女人正在练习倒立，双脚举过头顶。
PrgMAD18usY_000019_000029#zh#7 一个女人在房间的地板上平铺了一张蓝色垫子，随后她用手臂来撑起她的身体平衡动作。
PrgMAD18usY_000019_000029#zh#8 一个女人在用瑜伽姿势，在两个前臂上保持平衡。
PrgMAD18usY_000019_000029#zh#9 一个女人在餐厅的瑜伽垫上做瑜伽伸展运动。
D-bMlkaCTDM_000000_000010#zh#0 一个戴着眼镜的高个子男孩正趴在地垫上弯腰。
D-bMlkaCTDM_000000_000010#zh#1 一个男人在垫子上自己做了一个下腰的动作。
D-bMlkaCTDM_000000_000010#zh#2 一个穿着白色上衣的男人在做运动。
D-bMlkaCTDM_000000_000010#zh#3 在明亮的室内，一个男孩在蓝色垫子上做运动。
D-bMlkaCTDM_000000_000010#zh#4 一个男孩在练功房练习下腰的动作。
D-bMlkaCTDM_000000_000010#zh#5 一个人他肚子向下翻动并着陆，旁边有人在说广东话。
D-bMlkaCTDM_000000_000010#zh#6 一个男孩在一个满是人的体操馆练习体操。
D-bMlkaCTDM_000000_000010#zh#7 一个年轻的少年跳到垫子上，做了一个后弯。
D-bMlkaCTDM_000000_000010#zh#8 一个家伙站在一个蓝色的垫子上，在垫子上做了几个动作。
D-bMlkaCTDM_000000_000010#zh#9 一位评论家在健身房的垫子上述说一个年轻人在练习体操的动作。
N_QvDgDE1hY_000014_000024#zh#0 在工厂里面，一群切割工人正在进行产品的生产。
N_QvDgDE1hY_000014_000024#zh#1 在工厂里，两个人在切割机器前拿着模具进行切割。
N_QvDgDE1hY_000014_000024#zh#2 两个穿着红色衣服的人正在把钢板放到机器里。
N_QvDgDE1hY_000014_000024#zh#3 两个人穿着红色裤子，戴着手套拿着一块金属物品来到机器前。
N_QvDgDE1hY_000014_000024#zh#4 工人们利用器械把金属模具进行加工。
N_QvDgDE1hY_000014_000024#zh#5 当工人推动钢材时，机器被用来弯曲钢材。
N_QvDgDE1hY_000014_000024#zh#6 两名男子正在一家钣金公司的生产线上工作。
N_QvDgDE1hY_000014_000024#zh#7 当音乐响起的时候，两个男人将金属板放置在快速运行的重型设备中。
N_QvDgDE1hY_000014_000024#zh#8 男人们在工厂里用的是一台弯曲金属的机器。
N_QvDgDE1hY_000014_000024#zh#9 一些人正在使用机器忙碌的加工一些金属制品。
J8ALRffvpoI_000002_000012#zh#0 一个男人将一块弯曲的物体掰成了两半。
J8ALRffvpoI_000002_000012#zh#1 一个男人正在演示，如何凭借着自身的力量，掰弯铁条。
J8ALRffvpoI_000002_000012#zh#2 一个戴帽子的男人大力将手中的物品破坏。
J8ALRffvpoI_000002_000012#zh#3 一个穿短袖戴帽子的男人用腿和胳膊把一个棍子对折，旁边一个男人在观看。
J8ALRffvpoI_000002_000012#zh#4 一个男人用自己强大的双手将铁板折叠了起来。
J8ALRffvpoI_000002_000012#zh#5 在一个仓库里，另一个男人正在观看一个人正在试图把一块金属板弄湾。
J8ALRffvpoI_000002_000012#zh#6 一个男孩正在弯曲某种东西，而他身后的另一个男孩手持一个钻头。
J8ALRffvpoI_000002_000012#zh#7 一个男子在仓库将一片铝合金弯折，而他的朋友在后面看着。
J8ALRffvpoI_000002_000012#zh#8 一个人试图弯曲一块金属, 发出呼噜声, 他终于完成了, 对自己很满意。
J8ALRffvpoI_000002_000012#zh#9 在一个仓库里, 一个男子手上拿着一个一块金属板，他的旁边还站着一个人。
TyNWBUEU7b4_000000_000010#zh#0 一个男人在冰面上骑行，无奈下坡时摔倒了，女友在嘲笑他。
TyNWBUEU7b4_000000_000010#zh#1 一个穿着墨绿色衣服的男人在雪堆上骑自行车，然后摔倒在雪地上。
TyNWBUEU7b4_000000_000010#zh#2 一个人穿戴着护具在一个陡峭的雪地上骑自行车。
TyNWBUEU7b4_000000_000010#zh#3 一个戴蓝色帽子的人在雪地里骑自行车，在雪上摔了一跤。
TyNWBUEU7b4_000000_000010#zh#4 在一个户外，地面都是雪，有一个人在骑着自行车，这个人从自行车上摔了下来。
TyNWBUEU7b4_000000_000010#zh#5 一个男人骑着雪地车一头栽在了雪地里。
TyNWBUEU7b4_000000_000010#zh#6 一个男人在雪地里骑自行车，然后摔倒了。
TyNWBUEU7b4_000000_000010#zh#7 一个在雪地上起这山地车的人从边缘摔落旁边还有人在笑。
TyNWBUEU7b4_000000_000010#zh#8 一名男子骑着自行车穿过一个大雪堆, 然后绑起来跳下去摔倒。
TyNWBUEU7b4_000000_000010#zh#9 在室外的雪地上，一个男子正在骑着自行车。并且他跌倒了。
K0WTp63GLK0_000040_000050#zh#0 一个穿着黑色衣服的男人用滑雪橇在雪地里滑雪。
K0WTp63GLK0_000040_000050#zh#1 一个人乘坐滑雪车，从高处建筑往下滑，又从雪地高处往下滑。
K0WTp63GLK0_000040_000050#zh#2 一个穿着黑色衣服的男人正在雪地上滑雪。
K0WTp63GLK0_000040_000050#zh#3 一个黑衣男子在雪面上滑着他的滑雪板。
K0WTp63GLK0_000040_000050#zh#4 一个人骑着一个雪橇从屋顶飞下在雪地滑行。
K0WTp63GLK0_000040_000050#zh#5 有一个人用把手在雪橇上做恶作剧。
K0WTp63GLK0_000040_000050#zh#6 一个人从一个高台上跳到雪中并滑行了一段距离。
K0WTp63GLK0_000040_000050#zh#7 一个穿着黑色衣服的人拿着工具在雪地上滑行。
K0WTp63GLK0_000040_000050#zh#8 一名穿着黑色上衣的男子跳下雪橇，顺着雪坡滑下了大街。
K0WTp63GLK0_000040_000050#zh#9 一个人骑着某种滑雪装置跳跃着一座建筑物，然后一直朝下面骑去。
y9YqJ3jNoQQ_000003_000013#zh#0 一个穿黑色衣服的男人坐在雪地里面。
y9YqJ3jNoQQ_000003_000013#zh#1 一名穿黑色上衣的男人骑着摩托车在雪地上摔倒了。
y9YqJ3jNoQQ_000003_000013#zh#2 一个黑衣男子在雪地上骑车摔倒了，然后滚到了地上。
y9YqJ3jNoQQ_000003_000013#zh#3 在一片雪地上，一个人正在和狗玩乐。
y9YqJ3jNoQQ_000003_000013#zh#4 白雪皑皑的土地上一个人和一辆双轮车倒在地上。
y9YqJ3jNoQQ_000003_000013#zh#5 一个男人在户外的雪橇上掉了下来。
y9YqJ3jNoQQ_000003_000013#zh#6 一个人从车子上摔了下来，并且摔倒了雪里。
y9YqJ3jNoQQ_000003_000013#zh#7 一个男人不小心在大雪里上摔倒了。
y9YqJ3jNoQQ_000003_000013#zh#8 一个男人从自行车上掉下来摔进了雪中。
y9YqJ3jNoQQ_000003_000013#zh#9 在积雪的院子里，男孩弄坏雪橇，而旁边的另一个男人在笑他。
UEmJRByMG6s_000071_000081#zh#0 一个男人正在雪地里努力地滑雪，一个戴着黑色帽子的女人回头看。
UEmJRByMG6s_000071_000081#zh#1 一个人在宽阔的雪上自由自在地玩滑雪车。
UEmJRByMG6s_000071_000081#zh#2 一个穿着羽绒服的男人正在滑雪场上玩单板滑雪。
UEmJRByMG6s_000071_000081#zh#3 晴朗的天空下，一群人正在雪地上滑雪。
UEmJRByMG6s_000071_000081#zh#4 人们在雪地里滑雪，一个女人停下来了。
UEmJRByMG6s_000071_000081#zh#5 为了方便起见, 一个人正在骑自行滑板车滑雪。
UEmJRByMG6s_000071_000081#zh#6 在满是积雪的山坡上，几个人正在滑雪。
UEmJRByMG6s_000071_000081#zh#7 从一个泡泡中我们可以看到人们在被雪覆盖的山上滑行。
UEmJRByMG6s_000071_000081#zh#8 滑雪缆车运作时，一名男子驾驶着手柄滑下山坡，然后滑雪板上的女士回头看。
UEmJRByMG6s_000071_000081#zh#9 许许多多的人正在滑雪场进行滑雪。
0BGTfQfQ8i0_000099_000109#zh#0 一个人推走一只轮胎，一个穿防护服的人正在喷漆。
0BGTfQfQ8i0_000099_000109#zh#1 一个人推走了一个轮胎，一个在使用工具给物品喷着什么。
0BGTfQfQ8i0_000099_000109#zh#2 几个穿着不同款式服装的人在一个空间里工作。
0BGTfQfQ8i0_000099_000109#zh#3 一个身穿蓝色工作服的人在滚轮胎另一个身穿黄色工作服的人在喷漆。
0BGTfQfQ8i0_000099_000109#zh#4 一个穿着黑色衣服戴着手套的人在滚动轮胎。
0BGTfQfQ8i0_000099_000109#zh#5 但流行音乐播放时，一个钢制工架梁被喷砂处理。
0BGTfQfQ8i0_000099_000109#zh#6 汽车车间里，一个人推着一个轮胎走开了，然后在给一块铁喷油漆。
0BGTfQfQ8i0_000099_000109#zh#7 一名子推走轮胎并用一把喷枪绘制金属碎片。
0BGTfQfQ8i0_000099_000109#zh#8 一个穿着防护服的男人正在做一个喷漆展示。
0BGTfQfQ8i0_000099_000109#zh#9 一个人推走一个大轮胎，然后另一个人给一个金属物件喷漆。
zVdzvzhIucg_000020_000030#zh#0 一个人在用高压水管清洗地上的黄色马路线。
zVdzvzhIucg_000020_000030#zh#1 一个工作人员正用高压水枪冲洗马路上的横线。
zVdzvzhIucg_000020_000030#zh#2 一个人用手中的工具，在清理着地面旁边有人在站着。
zVdzvzhIucg_000020_000030#zh#3 一个人拿着喷枪工具在清洗马路上的黄色斑线。
zVdzvzhIucg_000020_000030#zh#4 一个人在用高压水枪冲刷地面上刷的黄色辅助线。
zVdzvzhIucg_000020_000030#zh#5 一个人正在用高压水泵清洗停车场上的条纹油漆。
zVdzvzhIucg_000020_000030#zh#6 一个人拿着高压水枪在清除地面上的油漆。
zVdzvzhIucg_000020_000030#zh#7 一个人在街上展示如何从路上去除黄色油漆。
zVdzvzhIucg_000020_000030#zh#8 一个穿着灰色裤子的男人正在用清洗剂清理道路上的油漆。
zVdzvzhIucg_000020_000030#zh#9 一个男人拿着高压水管在街道上喷洒。
Xu2bCI2X3Rk_000004_000014#zh#0 一个人正在使用工具修饰另一个女人的头发。
Xu2bCI2X3Rk_000004_000014#zh#1 一个理发师正用圆木梳与吹风机给一个女人吹出造型。
Xu2bCI2X3Rk_000004_000014#zh#2 一个人坐在凳子上面，另一个人手上拿着工具在给她做造型。
Xu2bCI2X3Rk_000004_000014#zh#3 一个人正在给一个穿紫色衣服的人用卷发棒卷头发。
Xu2bCI2X3Rk_000004_000014#zh#4 一个人正在给另一个人整理他的头发。
Xu2bCI2X3Rk_000004_000014#zh#5 一个女孩坐在椅子上让人帮她弄头发。
Xu2bCI2X3Rk_000004_000014#zh#6 一个人用卷发棒卷起一个女孩的头发，然后用吹风机吹。
Xu2bCI2X3Rk_000004_000014#zh#7 在一个理发店，一双手正在给一个人烫卷。
Xu2bCI2X3Rk_000004_000014#zh#8 在室内一个人拿着工具在个另一个人整理头发。
Xu2bCI2X3Rk_000004_000014#zh#9 一个人拿着梳子和吹风机正在打理一个女士的头发。
TdczmqIGjvc_000000_000010#zh#0 一个大眼睛的女人正在理发店里面做头发。
TdczmqIGjvc_000000_000010#zh#1 一个人正在给另一个人用吹风机吹着头发。
TdczmqIGjvc_000000_000010#zh#2 一个理发师正在为一个长头发的女人用吹风机做发型。
TdczmqIGjvc_000000_000010#zh#3 在一个房间里，一个人在帮一个女人弄头发。
TdczmqIGjvc_000000_000010#zh#4 一位造型师在给一位女士用吹风机和梳子造型。
TdczmqIGjvc_000000_000010#zh#5 一个女人坐在椅子上，另一个人在帮她整理头发。
TdczmqIGjvc_000000_000010#zh#6 发型师正在帮一位年轻的女士梳理头发。
TdczmqIGjvc_000000_000010#zh#7 以个女人在沙龙理发师正在为她吹干头发。
TdczmqIGjvc_000000_000010#zh#8 一个人拿着吹风机和发棒给一个女人做头发。
TdczmqIGjvc_000000_000010#zh#9 一个女人坐着，一个人用吹风机和刷子把头发弄干。
BZ10JbozzYs_000000_000010#zh#0 在车里，一个穿短袖的小男孩正在吹泡泡糖。
BZ10JbozzYs_000000_000010#zh#1 一名身穿灰色上衣的小男孩儿坐在车里，嘴里吹着泡泡。
BZ10JbozzYs_000000_000010#zh#2 一个小男孩坐在车里吃着口香糖在吹泡泡。
BZ10JbozzYs_000000_000010#zh#3 一个小男孩吹出一个粉色的大泡泡。
BZ10JbozzYs_000000_000010#zh#4 一个穿着灰色半袖的小男孩，坐在车厢里面吃着泡泡糖。
BZ10JbozzYs_000000_000010#zh#5 一个小孩用他的口香糖吹出一个大泡泡，随后它就爆裂了。
BZ10JbozzYs_000000_000010#zh#6 一个小男孩正坐在汽车里，用他的口香糖吹泡泡。
BZ10JbozzYs_000000_000010#zh#7 一个小男孩在车里试图建立一个大泡泡糖。
BZ10JbozzYs_000000_000010#zh#8 一个孩子拿着口香糖吹泡泡，然后泡泡破了。
BZ10JbozzYs_000000_000010#zh#9 一个男孩坐在汽车的后座上面在吹着气球。
GuebaLV2o7A_000000_000010#zh#0 在一个房间里，一个女子正在吹泡泡，结果泡泡破了。
GuebaLV2o7A_000000_000010#zh#1 一个女人吹出了一个泡泡，然后这个泡泡爆在了嘴上。
GuebaLV2o7A_000000_000010#zh#2 一个女孩正在吃泡泡糖，还吹了一个很大的泡泡。
GuebaLV2o7A_000000_000010#zh#3 一个穿着粉红上衣，留着长发的女孩在吹泡泡。
GuebaLV2o7A_000000_000010#zh#4 一个长发女子在吹泡泡糖又将泡泡弄破了。
GuebaLV2o7A_000000_000010#zh#5 一个女孩试图用口香糖吹一个泡泡，把它拿掉的时候，把它弄脏了。
GuebaLV2o7A_000000_000010#zh#6 一个女孩用口香糖吹泡泡，泡泡炸了黏在了嘴角。
GuebaLV2o7A_000000_000010#zh#7 一个女人吹出来一个大泡泡，然后破掉之后搭在了脸上。
GuebaLV2o7A_000000_000010#zh#8 这位女士吹泡泡糖时被泡泡糖黏住了嘴巴。
GuebaLV2o7A_000000_000010#zh#9 一名年轻女子在她的房间里自己吹了一些泡泡糖然后粘在嘴巴上。
zSqvuGgwY8w_000000_000010#zh#0 一个穿着蓝色吊带的女人嘴里吹着一个蓝色的口香糖泡泡，还用手去拿。
zSqvuGgwY8w_000000_000010#zh#1 车内一女子吃着一块蓝色的泡泡糖吹了一个大泡泡。
zSqvuGgwY8w_000000_000010#zh#2 车里坐着一个女人正在用嘴吹绿色的泡泡糖。
zSqvuGgwY8w_000000_000010#zh#3 一个吃蓝色泡泡糖的女人正在吹泡泡。
zSqvuGgwY8w_000000_000010#zh#4 一个坐在车上的女子在将口香糖吹成一个蓝色的泡泡，泡泡破了之后用手扯下来。
zSqvuGgwY8w_000000_000010#zh#5 一个女人在吹一个蓝色的泡泡来搞怪。
zSqvuGgwY8w_000000_000010#zh#6 一个胖胖的女孩用一个蓝色泡泡糖吹出一个蓝色泡泡，然后从她的脸上摘下粘稠的口香糖。
zSqvuGgwY8w_000000_000010#zh#7 一个女孩用蓝色泡泡糖吹泡泡形成了大泡泡。
zSqvuGgwY8w_000000_000010#zh#8 一名年轻女子正在吹泡泡，并将其吸回嘴里。
zSqvuGgwY8w_000000_000010#zh#9 一个女人用她的口香糖吹了一个大泡泡，然后粘在她的嘴唇上。
JCH1E6SwtMM_000092_000102#zh#0 一个戴着头巾的男人正在认真的制作东西。
JCH1E6SwtMM_000092_000102#zh#1 一个人慢慢地把拴在长棍上的玻璃罐送入高温炉中。
JCH1E6SwtMM_000092_000102#zh#2 一个戴帽子的男人把一个东西慢慢放进了一个工具里。
JCH1E6SwtMM_000092_000102#zh#3 一个外国人用工具将玻璃器皿送进火炉。
JCH1E6SwtMM_000092_000102#zh#4 有一个戴着头巾的男人正在进行玻璃工艺制作。
JCH1E6SwtMM_000092_000102#zh#5 一名男子正在拍摄他在加热一个物品，并在互联网上发布。
JCH1E6SwtMM_000092_000102#zh#6 一个胖胖的男人把一个东西放进了超高温熔炉中。
JCH1E6SwtMM_000092_000102#zh#7 一人穿灰色衣服的男人吧一件艺术品放进了火里。
JCH1E6SwtMM_000092_000102#zh#8 一个带着红色头巾的男子把玻璃放入啦高温箱。
JCH1E6SwtMM_000092_000102#zh#9 一个男人在很高的温度下塑造一个玻璃杯。
YHlvveB3fhA_000051_000061#zh#0 一个男人在窑里用铁棍夹着玻璃旋转。然后用手指着窑说话。
YHlvveB3fhA_000051_000061#zh#1 一个穿着黑色短袖的男人在制作玻璃工艺品。
YHlvveB3fhA_000051_000061#zh#2 在一个房间里，一个穿着黑色上衣的男人正在工作。
YHlvveB3fhA_000051_000061#zh#3 一个人的手上拿着一个工具一直在转圈，并且放在了一火上面。
YHlvveB3fhA_000051_000061#zh#4 一个穿着黑色衣服的男人，在煅烧炉里面烧着玻璃。
YHlvveB3fhA_000051_000061#zh#5 一个人用2000度的火炉烧制玻璃物体。
YHlvveB3fhA_000051_000061#zh#6 一个人打开并拿出在熔炉里面玻璃制品。
YHlvveB3fhA_000051_000061#zh#7 一个男人展示了他是如何制造玻璃的, 而一个女人则正在为其讲述。
YHlvveB3fhA_000051_000061#zh#8 一个人正在墙上工作, 方法是用热物质把材料放在墙上。
YHlvveB3fhA_000051_000061#zh#9 一个男子把一个玻璃球放到了烤箱里面烧着。
IcLztCtvhb8_000249_000259#zh#0 一个人拿着做糖人的工具用镊子在做糖人。
IcLztCtvhb8_000249_000259#zh#1 一个人一只手拿着一个钢棍，另一只手拿着镊子在做什么东西。
IcLztCtvhb8_000249_000259#zh#2 一个人拿着镊子将手上的琉璃加工成一个动物的模样。
IcLztCtvhb8_000249_000259#zh#3 在一个房间里，有一个人在用夹子做手工艺品。
IcLztCtvhb8_000249_000259#zh#4 一只手拿着长镊子在一块糖上夹出了马头形状，烤了一下又拉了一条马腿出来。
IcLztCtvhb8_000249_000259#zh#5 一个人正在用尖尖的金属工具雕刻成型热玻璃。
IcLztCtvhb8_000249_000259#zh#6 有人用镊子把热玻璃做成小工艺品。
IcLztCtvhb8_000249_000259#zh#7 一个人用热熔玻璃巧妙地雕刻出一匹马。
IcLztCtvhb8_000249_000259#zh#8 一个人拿着镊子在给一个红色的东西做造型。
IcLztCtvhb8_000249_000259#zh#9 一个人手里拿着一对钳子正在模压玻璃。
-ngkOG5vwkE_000025_000035#zh#0 一个穿着白色衣服的女人背着一个机器，一个男人怀里抱着一个小孩。
-ngkOG5vwkE_000025_000035#zh#1 一个身穿白色衣服的女人在大笑，同时远处一个男人抱着一个孩子在观望。
-ngkOG5vwkE_000025_000035#zh#2 一个女人背着洒水器在洒水，不远处一个男人抱着孩子站在阳光下。
-ngkOG5vwkE_000025_000035#zh#3 一个人身穿着浅色的衣服在和另一个人说话。
-ngkOG5vwkE_000025_000035#zh#4 一个穿白色衣服的女人身上背着一个壶。
-ngkOG5vwkE_000025_000035#zh#5 一个男人抱着小孩站在草坪上，一个女人背着工具在笑着讲话。
-ngkOG5vwkE_000025_000035#zh#6 一个女人背着一个吸尘器准备打扫，而一个男人抱着孩子站在另一边。
-ngkOG5vwkE_000025_000035#zh#7 一个女士拿着吹叶机笑着与人交谈，一个男人抱着一个小孩在树林中。
-ngkOG5vwkE_000025_000035#zh#8 一个女性正在和另一位站在房子车道上的女性交谈，然后有一名男性站在花园里抱着一个孩子。
-ngkOG5vwkE_000025_000035#zh#9 一个女人背着一个吹风机走了，一个男人抱着一个小孩站在树林里。
Wh4vYozBQ5k_000019_000029#zh#0 一个穿着红色衣服的小孩坐在椅子上开心的玩。
Wh4vYozBQ5k_000019_000029#zh#1 在一个房间里有一个穿着红色衣服的小女孩儿坐在椅子上玩儿。
Wh4vYozBQ5k_000019_000029#zh#2 一个小女孩用餐巾纸擦了鼻子，又甩了甩手中的纸巾。
Wh4vYozBQ5k_000019_000029#zh#3 一个穿红色上衣的小孩子坐在椅子上用纸擦鼻子。
Wh4vYozBQ5k_000019_000029#zh#4 一个穿玫红色衣服的小婴儿坐在婴儿车里，有人给她擦鼻子。
Wh4vYozBQ5k_000019_000029#zh#5 高脚椅上的一个小孩拿着一张纸巾，她的母亲指挥着她，所以她擦她的鼻子。
Wh4vYozBQ5k_000019_000029#zh#6 一个小女孩正在用盒子里的纸巾擦鼻子。
Wh4vYozBQ5k_000019_000029#zh#7 父母正在教孩子如何用纸巾擦鼻子。
Wh4vYozBQ5k_000019_000029#zh#8 一个女孩拿着餐巾纸把鼻子擦得干干净净。
Wh4vYozBQ5k_000019_000029#zh#9 一个年轻的女孩用纸巾吹她的鼻子，然后用纸巾擦桌子。
hOL-vgb3wpc_000004_000014#zh#0 一个小宝宝正在妈妈的引导下，使用纸巾擤鼻涕。
hOL-vgb3wpc_000004_000014#zh#1 一个穿这蓝色套装的金发小男孩正在拿着一张手纸捂着嘴。
hOL-vgb3wpc_000004_000014#zh#2 一个可爱的小男孩拿着纸巾为自己擦鼻子。
hOL-vgb3wpc_000004_000014#zh#3 一个穿着深色衣服的人正在用纸擦嘴。
hOL-vgb3wpc_000004_000014#zh#4 一个小孩子一手拿着一张纸放在自己的脸上。
hOL-vgb3wpc_000004_000014#zh#5 一个小孩假装将鼻涕擦在纸巾上并递给他妈妈。
hOL-vgb3wpc_000004_000014#zh#6 一个男孩拿着一张纸巾，正在吹鼻子。
hOL-vgb3wpc_000004_000014#zh#7 一个小孩用纸巾自己擦了两次鼻子。
hOL-vgb3wpc_000004_000014#zh#8 一个婴儿抓住了婴儿床外的一张餐巾纸。
