G9zN5TTuGO4_000179_000189#zh#0 在野外，一个人正在悬吊在冰地里面进行作业。
TEKN8M2clbk_000348_000358#zh#0 一个带着蓝色手套的人在给汽车加油。
TEKN8M2clbk_000348_000358#zh#1 一个人戴着手套拿着油壶往机器里面倒油。
TEKN8M2clbk_000348_000358#zh#2 一名工作人员在检查汽车机动舱并给汽车加油。
TEKN8M2clbk_000348_000358#zh#3 一个人正拿着一个蓝色的瓶子将里面的液体倒出来。
TEKN8M2clbk_000348_000358#zh#4 一个人伸着一只手在拧东西，随后将机油倒进发动机里。
TEKN8M2clbk_000348_000358#zh#5 一个男人正在汽车发动机的区域工作，然后将油倒入油箱。
TEKN8M2clbk_000348_000358#zh#6 一个男人正在修理自己的汽车并向汽车的发动机里加油。
TEKN8M2clbk_000348_000358#zh#7 一个男人正在通过漏斗向汽车里倒流体。
TEKN8M2clbk_000348_000358#zh#8 一个人把一个蓝色的纸盒里的油倒进汽车的油箱里。
TEKN8M2clbk_000348_000358#zh#9 一个戴着手套的人正在给蓝色的汽车加入机油。
n64kp3OZY6Q_000262_000272#zh#0 一个人在装载车里的零件，一个人在旁边使用其他工具。
n64kp3OZY6Q_000262_000272#zh#1 汽车装配工zheng?zai。
n64kp3OZY6Q_000262_000272#zh#2 一辆车被放好。几个人在房间里工作着。
n64kp3OZY6Q_000262_000272#zh#3 几名穿工作服的男子在4S店内修理大众汽车。
n64kp3OZY6Q_000262_000272#zh#4 明亮的房间内，两个男人，在修理汽车。
n64kp3OZY6Q_000262_000272#zh#5 车库里一个男人正在修理汽车引擎。
n64kp3OZY6Q_000262_000272#zh#6 汽车从千斤顶下降到地面，男人给汽车发动机安装零件。
n64kp3OZY6Q_000262_000272#zh#7 一个卡车的内部随着音乐播放由一名机械师展示。
n64kp3OZY6Q_000262_000272#zh#8 一个穿着灰色上衣的工作人员正在组装着一辆汽车。
n64kp3OZY6Q_000262_000272#zh#9 一段加速的视频显示, 几个人在一家修理店修理汽车发动机。
fE0yN1CBMvA_000160_000170#zh#0 一位自行车修理工人正在给自行车上车胎。
fE0yN1CBMvA_000160_000170#zh#1 一个修自行车的员工在修理自行车胎。
fE0yN1CBMvA_000160_000170#zh#2 一双戴着手套的手在装轮子里的内胎。
fE0yN1CBMvA_000160_000170#zh#3 一个戴着白色手套，戴着手表的人在安装自行车轮胎。
fE0yN1CBMvA_000160_000170#zh#4 一个戴着白色手套的人正在给一辆自行车换胎。
fE0yN1CBMvA_000160_000170#zh#5 一个戴手套的人在自行车轮胎上修理着。
fE0yN1CBMvA_000160_000170#zh#6 一名男性正在展示如何修理自行车轮胎。
fE0yN1CBMvA_000160_000170#zh#7 一个男人在工作室将自行车的内胎塞进车的轮胎内。
fE0yN1CBMvA_000160_000170#zh#8 一个穿着黑色上衣的男人在房间里装自行车轮胎。
fE0yN1CBMvA_000160_000170#zh#9 一个戴手套的家伙正在把一根管子放到一个爆胎的自行车里。
W9LR5Z9C33E_000104_000114#zh#0 一只手把一个硬币放在了汽车轮胎上，并且之后还用手在轮胎上指了指。
W9LR5Z9C33E_000104_000114#zh#1 一个人拿着硬币与汽车轮胎的缝隙进行宽度对比。
W9LR5Z9C33E_000104_000114#zh#2 一个穿灰色衣服的人将一枚硬币放入车胎中。
W9LR5Z9C33E_000104_000114#zh#3 一个人拿着一枚硬币放进汽车轮胎的花纹缝隙里。一个人用手指着汽车轮胎。
W9LR5Z9C33E_000104_000114#zh#4 一名身穿蓝色外套的女子，把手放到了汽车轮胎上方。
W9LR5Z9C33E_000104_000114#zh#5 一个人拿着一枚硬币放进了轮胎里面，并检查轮胎本身。
W9LR5Z9C33E_000104_000114#zh#6 一个人在一个轮胎上放了一个硬币，然后指着轮胎说话。
W9LR5Z9C33E_000104_000114#zh#7 当一个男人在说话并且正在播放音乐时，一个人会在轮胎上放一分钱，然后沿着轮胎摩擦手指。
W9LR5Z9C33E_000104_000114#zh#8 有人在汽车轮胎的胎面上放了一分钱，换了画面之后钱不见了。
W9LR5Z9C33E_000104_000114#zh#9 一名男子正在用一枚硬币检查轮胎的压力状况。
YLJaiKWGQys_000139_000149#zh#0 一个穿黑色上衣的男人给汽车换轮胎。
YLJaiKWGQys_000139_000149#zh#1 车房修车师傅利用特殊仪器对汽车轮胎进行调整整修。
YLJaiKWGQys_000139_000149#zh#2 一个男人在一个车库往车的后轮上套上了一个铁环。
YLJaiKWGQys_000139_000149#zh#3 一个穿黑色衣服的男人，把一个工具装在轮胎上。
YLJaiKWGQys_000139_000149#zh#4 一个男人蹲在地上，把装置固定在轮胎上，然后起身站起来。
YLJaiKWGQys_000139_000149#zh#5 一名男子在汽车修理厂讲解展示检查车轮定位。
YLJaiKWGQys_000139_000149#zh#6 一个人把靴子放在一个轮胎上，然后从另一个轮胎上卸下一个。
YLJaiKWGQys_000139_000149#zh#7 一名男子正在检查一辆汽车的路线，并谈论这项服务。
YLJaiKWGQys_000139_000149#zh#8 一名男子蹲着用设备检查轮胎的气压。
YLJaiKWGQys_000139_000149#zh#9 一个光头男人车库里正在检查汽车。
A7DMjBZyvDY_000090_000100#zh#0 宽阔的篮球场上，一些女人，在跳舞，旁边一些人在观看。
A7DMjBZyvDY_000090_000100#zh#1 一些学生在球馆里排练着自己的节目，老师则在旁边指导。
A7DMjBZyvDY_000090_000100#zh#2 一群啦啦队的舞蹈人员正在练习自己的舞蹈。
A7DMjBZyvDY_000090_000100#zh#3 一群人在一个室内穿着各种不一样的衣服。
A7DMjBZyvDY_000090_000100#zh#4 敞亮的房间内，有很多名女孩正在室内玩耍。
A7DMjBZyvDY_000090_000100#zh#5 在室内，一群女孩正在为拉拉队比赛做准备。
A7DMjBZyvDY_000090_000100#zh#6 几个穿着不同服装的拉拉队在空旷的室内体育馆内进行着拉拉队表演。
A7DMjBZyvDY_000090_000100#zh#7 很多小孩子都在等待参加拉拉队比赛。
A7DMjBZyvDY_000090_000100#zh#8 一群欢呼的女孩正在一个大的室内体育馆里练习舞蹈。
A7DMjBZyvDY_000090_000100#zh#9 不同群体的啦啦队员和体操运动员正在做一些表演。
mSvYTWkVBJA_000008_000018#zh#0 很多穿白色短袖的孩子站得整整齐齐，有一个长发女生在前面跑跑跳跳。
mSvYTWkVBJA_000008_000018#zh#1 一个女生在一群站直、双手放后背的人面前不时地跳起并且双手挥动拍掌。
mSvYTWkVBJA_000008_000018#zh#2 一个戴帽子的女人不停地在一些人面前跳着。
mSvYTWkVBJA_000008_000018#zh#3 一个长发女生，戴着帽子，在一群人面前跳着拍手。
mSvYTWkVBJA_000008_000018#zh#4 一群穿着白色上衣蓝色裤子的人，站在广场上，前面有个人在跳着舞蹈。
mSvYTWkVBJA_000008_000018#zh#5 一群舞者站在一个队形中, 前面的女孩面对着他们, 上下跳跃。
mSvYTWkVBJA_000008_000018#zh#6 一个女孩站在一群人的面前, 兴奋地跳上跳下。
mSvYTWkVBJA_000008_000018#zh#7 一个穿白色衣服的女孩正在一群人面前欢呼起来。
mSvYTWkVBJA_000008_000018#zh#8 一个穿着白色短袖的女人在一群人前面跳舞。
mSvYTWkVBJA_000008_000018#zh#9 当人群欢呼时, 一名女子在一群学生面前跳上跳下。
6LOV6-dkNZE_000251_000261#zh#0 一个篮球场上一群穿校服的人在叠罗汉。
6LOV6-dkNZE_000251_000261#zh#1 一群小孩子正在努力地表演他们的集体舞蹈。
6LOV6-dkNZE_000251_000261#zh#2 一群人正在跳着舞，然后还摆出了很多的图案。
6LOV6-dkNZE_000251_000261#zh#3 一群人正在表演，周围有很多人在看着。
6LOV6-dkNZE_000251_000261#zh#4 一个礼堂里在举办着一场表演节目，许多人在观看。
6LOV6-dkNZE_000251_000261#zh#5 你群拉拉队员在健身房的地板上，跟着音乐有节奏地表演的舞蹈。
6LOV6-dkNZE_000251_000261#zh#6 球场内，一群身着红色的拉拉队队员们欢快的舞动着。
6LOV6-dkNZE_000251_000261#zh#7 一群啦啦队员正在一个篮球场上表演，周围有一群人在围观。
6LOV6-dkNZE_000251_000261#zh#8 一个啦啦队的小队在篮球场的人群面前表演。
6LOV6-dkNZE_000251_000261#zh#9 一群拉拉队员在运动场上给队员跳舞加油。
UrV44zz_gnE_000056_000066#zh#0 一个小男孩躺在床上用口香糖吹泡泡。
UrV44zz_gnE_000056_000066#zh#1 一个穿着灰色上衣小男孩躺在床上，吹泡泡糖。
UrV44zz_gnE_000056_000066#zh#2 小男孩躺在床上正在用嘴吹泡泡糖吹成一个泡泡。
UrV44zz_gnE_000056_000066#zh#3 一个穿着灰色上衣的男孩躺在床上吹泡泡糖。
UrV44zz_gnE_000056_000066#zh#4 室内有一个男孩子侧躺在床上，并且嘴里吹出个泡泡。
UrV44zz_gnE_000056_000066#zh#5 一个小男孩躺在床上对着镜头说话。
UrV44zz_gnE_000056_000066#zh#6 一个年轻人躺在床上吹着口香糖泡泡。
UrV44zz_gnE_000056_000066#zh#7 在一个房间里，一个男孩躺在床上，嘴里嚼着泡泡糖。
UrV44zz_gnE_000056_000066#zh#8 一个小男孩侧躺在床上，用他的口香糖吹泡泡。
UrV44zz_gnE_000056_000066#zh#9 两个小男孩躺在卧室的床上，做一场谁可以吹出来最大泡泡的比赛。
PCQVd8rmprg_000020_000030#zh#0 一个男孩在下巴上画了两只眼睛模仿怪兽说话。
PCQVd8rmprg_000020_000030#zh#1 一名外国女子在自己嘴巴下面用水性笔画了一双眼睛。
PCQVd8rmprg_000020_000030#zh#2 一个穿着白色上衣的人躺着嚼口香糖。
PCQVd8rmprg_000020_000030#zh#3 一个穿着白色上衣的人正在嚼口香糖。
PCQVd8rmprg_000020_000030#zh#4 一个躺着遮住眼睛和鼻子的女子，嘴里嚼着口香糖。
PCQVd8rmprg_000020_000030#zh#5 一个女人躺着，张开嘴大笑的嚼着口香糖。
PCQVd8rmprg_000020_000030#zh#6 一个人在非常近的镜头下用画着眼睛的下巴进行着搞笑动作。
PCQVd8rmprg_000020_000030#zh#7 一个正在说话的人下巴画着俩个眼睛。
PCQVd8rmprg_000020_000030#zh#8 一个女人用绿色的布蒙住眼睛不知道在讲什么。
PCQVd8rmprg_000020_000030#zh#9 一个女孩在他的下巴上画了一对眼睛，并且嘴里嚼着口香糖说着些什么。
WsEfaI-2azs_000024_000034#zh#0 一个女孩站在一辆行驶着的巴士上，一边笑一边嚼动嘴巴，旁边座位上坐了一位穿着红衣的小女孩。
WsEfaI-2azs_000024_000034#zh#1 两个女孩子在录视频，对着镜头做出令人发笑的表情。
WsEfaI-2azs_000024_000034#zh#2 一个穿着黑色短袖的黑发女孩正在摆弄自己的头发。
WsEfaI-2azs_000024_000034#zh#3 一个穿黑色衣服的人摸着自己的头发，晃动着脑袋。
WsEfaI-2azs_000024_000034#zh#4 在车上，一个小女孩捋着头发，然后疯狂张嘴。
WsEfaI-2azs_000024_000034#zh#5 公交车上，一个女孩儿拔了几根头发玩，然后在和他的朋友有说有笑。
WsEfaI-2azs_000024_000034#zh#6 一群人在公交车上，其中一个女孩一边笑着一边说话。
WsEfaI-2azs_000024_000034#zh#7 一些女孩在校车上玩耍，一个女孩把头发缠在手指上，然后假装自己正在用力嚼口香糖。
WsEfaI-2azs_000024_000034#zh#8 一个年轻的女孩站在校车上正梳着她的头发玩。
WsEfaI-2azs_000024_000034#zh#9 一个女孩低下头, 在旋转手指上着一缕头发。
TeCuiDh9CxY_000075_000085#zh#0 一个穿白衣服的男子正在玩蹦蹦床。
TeCuiDh9CxY_000075_000085#zh#1 一个男人在用工具细心切割打磨制作着墓碑。
TeCuiDh9CxY_000075_000085#zh#2 一个人正在用手中的工具，打磨一块东西又拿出东西在喷着什么。
TeCuiDh9CxY_000075_000085#zh#3 在室外一个穿着工作服的人手上拿着工具在敲着一个石头。
TeCuiDh9CxY_000075_000085#zh#4 一个人先是用锤子，后用一个抛光机在修理一块石头。
TeCuiDh9CxY_000075_000085#zh#5 一个男子在雕刻一块石雕，然后进行打磨。
TeCuiDh9CxY_000075_000085#zh#6 一个人手上拿着一个工具敲打着一个物体，然后用机器在上面打磨。
TeCuiDh9CxY_000075_000085#zh#7 一个男人正在一块石头上凿边，然后用磨碎机打磨石头。
TeCuiDh9CxY_000075_000085#zh#8 一个人正在用一些工具来切掉和沙子一些东西。
TeCuiDh9CxY_000075_000085#zh#9 一个人用手捏碎一块石头，然后用磨光机把它弄平。
EkT5y-2ie94_000238_000248#zh#0 一个穿着蓝色衬衣的男子在房间里操作工具。
EkT5y-2ie94_000238_000248#zh#1 一名年老的工匠正在为大家演示怎么制作一件东西。
EkT5y-2ie94_000238_000248#zh#2 一个带着眼镜的男子，用手拿着工具，在旋转中打磨工具。
EkT5y-2ie94_000238_000248#zh#3 一个房间里，一个穿着紫色衣服的男人正在做木匠活。
EkT5y-2ie94_000238_000248#zh#4 一个穿着蓝色上衣戴着眼镜的人正在用手拿着工具工作着。
EkT5y-2ie94_000238_000248#zh#5 一个老爷爷正在操作着一个机器磨着一个物品。
EkT5y-2ie94_000238_000248#zh#6 一个身穿蓝灰色衣服的男人手拿物体磨着另一个长圆物体。
EkT5y-2ie94_000238_000248#zh#7 木工店里的一个男人演示了如何使用其中一台机器。
EkT5y-2ie94_000238_000248#zh#8 一个男子用刻刀加工一个在车床上旋转的木头。
EkT5y-2ie94_000238_000248#zh#9 一个人在说话的时候用移动的机器打磨一个物体。
o7irCXceNjg_000046_000056#zh#0 一个人戴着防护面具在焊接东西，并迸发出电火花。
o7irCXceNjg_000046_000056#zh#1 一个男子戴着保护面具电焊一些东西，之后有个女的在窗子边说话。
o7irCXceNjg_000046_000056#zh#2 一个人拿着工具打造着东西，迸发出了蓝色的火焰。
o7irCXceNjg_000046_000056#zh#3 一个戴着眼镜的男子和一个穿着白色衣服的女子在说话。
o7irCXceNjg_000046_000056#zh#4 一个戴着眼镜穿着白色短袖的男子正在用工具打磨一个物体。
o7irCXceNjg_000046_000056#zh#5 一个男人在船厂作坊里工作，一个女人告诉大家码头是开放的。
o7irCXceNjg_000046_000056#zh#6 有几个人正在做各种各样的工作，如焊接和木工。
o7irCXceNjg_000046_000056#zh#7 一个人拿着电焊枪和防护面具正在给一块钢板焊接着。
o7irCXceNjg_000046_000056#zh#8 成年人谈论正在开放的新码头, 可以看到建筑工程。
o7irCXceNjg_000046_000056#zh#9 一只手拿着焊接工具焊接一个东西，一个男子正在打磨木头。
LvD57lc6WnU_000016_000026#zh#0 一个身穿黑色衣服的人正在拿着刀在案板上切肉。
LvD57lc6WnU_000016_000026#zh#1 一个人在用刀子在案板上面切肉片。
LvD57lc6WnU_000016_000026#zh#2 一个人手里拿着菜刀正在切砧板上的肉。
LvD57lc6WnU_000016_000026#zh#3 明亮的房间内，一个人，站在桌边，用刀切着肉。
LvD57lc6WnU_000016_000026#zh#4 一个穿着黑色衣服的人正在用刀切东西。
LvD57lc6WnU_000016_000026#zh#5 一双手正在示范着如何在音乐播放的时候正确切肉。
LvD57lc6WnU_000016_000026#zh#6 一个拿着刀的人正在切菜板上切肉。
LvD57lc6WnU_000016_000026#zh#7 一个人站在柜台前，将鸡肉放在切菜板上进行切片。
LvD57lc6WnU_000016_000026#zh#8 一个厨师用一把钢刀在木板上把鸡肉切成细条.。
LvD57lc6WnU_000016_000026#zh#9 一个人在木质砧板上把一些鸡肉切成片。
kf5-mcJ32Ss_000038_000048#zh#0 明亮的房间内，一个男人，拿着一把刀，在挑选肉块。
kf5-mcJ32Ss_000038_000048#zh#1 一个身穿蓝色衣服的男人拿刀把肉切成小块状。
kf5-mcJ32Ss_000038_000048#zh#2 在一个明亮的室内，有一个人正在用刀切东西。
kf5-mcJ32Ss_000038_000048#zh#3 一个穿着蓝色衣服的人一只手拿着刀一只手从盆子里拿着肉。
kf5-mcJ32Ss_000038_000048#zh#4 一个人在一块肉上切了一下然后把肉放到盘子里又拿了一块。
kf5-mcJ32Ss_000038_000048#zh#5 一个人拿着刀在谈论如何手切一块特定的肉。
kf5-mcJ32Ss_000038_000048#zh#6 在室内，一个人正在用刀切割着放在盘子里的肉。
kf5-mcJ32Ss_000038_000048#zh#7 一个人将一块肉切成两半扔回了盒子里，并将另一块肉从盒子里拿出来放到了菜板上。
kf5-mcJ32Ss_000038_000048#zh#8 一个穿着蓝色上衣的男人正在用刀切肉。
kf5-mcJ32Ss_000038_000048#zh#9 一名男子用刀切碎生肉, 然后将其放入浴盆。
6yHTZHY8_3Y_000026_000036#zh#0 明亮的房间内，一个人，用刀切着食物。
6yHTZHY8_3Y_000026_000036#zh#1 一个戴着一只手套的人拿着一把刀，桌上还有几块肉。
6yHTZHY8_3Y_000026_000036#zh#2 一个戴着黑色手套的人在黄色的桌子上切肉。
6yHTZHY8_3Y_000026_000036#zh#3 一个人拿着刀正在切桌面上美味的肉类食品。
6yHTZHY8_3Y_000026_000036#zh#4 一只手拿着一把刀子正在切一块肉，另一只手翻开了一个肉片。
6yHTZHY8_3Y_000026_000036#zh#5 一个人拿着刀子，正在慢慢地切一些肉。
6yHTZHY8_3Y_000026_000036#zh#6 一个人拿着一把刀翻转着食物在切牛排。
6yHTZHY8_3Y_000026_000036#zh#7 一个男人正在用一把大牛排刀切一块上等牛肉。
6yHTZHY8_3Y_000026_000036#zh#8 一个穿着蓝色裤子的人在砧板上切肉。
6yHTZHY8_3Y_000026_000036#zh#9 一个人把肉切成薄片, 看起来像是牛肉烤肉，并展示着它。
wKhO5-BMphQ_000000_000010#zh#0 一个戴眼镜的人展示苦瓜，然后使用刀快速切苦瓜。
wKhO5-BMphQ_000000_000010#zh#1 一个带着眼镜的男人用刀快速切苦瓜。
wKhO5-BMphQ_000000_000010#zh#2 一个男子手里拿着刀在快速的切桌子上的黄瓜。
wKhO5-BMphQ_000000_000010#zh#3 一个男子拿着刀正在切割案板上的苦瓜。
wKhO5-BMphQ_000000_000010#zh#4 室内有一个戴着眼镜的男人手里拿着刀子正在切某种蔬菜。
wKhO5-BMphQ_000000_000010#zh#5 一个戴眼镜的男人在厨房里拿着刀切蔬菜。
wKhO5-BMphQ_000000_000010#zh#6 一个男子在演示如何利用水果刀快速的切蔬菜。
wKhO5-BMphQ_000000_000010#zh#7 一个厨房里的人正在使用高超的技巧切食物。
wKhO5-BMphQ_000000_000010#zh#8 一个男人为大家展示了一些相当快速的切碎蔬菜的方法。
wKhO5-BMphQ_000000_000010#zh#9 一个男人将两块被掏空的苦瓜放在切菜板上，然后一手按住苦瓜，另一只手握刀快速的将其切成苦瓜条。
kjCtZfFL8Wk_000128_000138#zh#0 一个人将桌面上的胡萝卜去皮，并拿菜刀将胡萝卜切碎。
kjCtZfFL8Wk_000128_000138#zh#1 一个人用刮皮刀把胡萝卜的皮刮掉后放在一边，又用刀把胡萝卜的头和尾切掉放在一边。
kjCtZfFL8Wk_000128_000138#zh#2 一双手正用一把刀将胡萝卜切成丝。
kjCtZfFL8Wk_000128_000138#zh#3 在一个房间里，有一个人正在弄食物。
kjCtZfFL8Wk_000128_000138#zh#4 有一个穿着白色上衣的人站在桌子旁边切着胡萝卜。
kjCtZfFL8Wk_000128_000138#zh#5 一位身穿工作服的厨师在切菜板上,解释如何准备蔬菜。
kjCtZfFL8Wk_000128_000138#zh#6 一个人正在示范如何正确的使用工具处理一根胡萝卜。
kjCtZfFL8Wk_000128_000138#zh#7 一名男子正在用刀切胡萝卜，他解释了切菜的过程。
kjCtZfFL8Wk_000128_000138#zh#8 一个人在厨房里用刀在菜板上切菜。
kjCtZfFL8Wk_000128_000138#zh#9 一个人正在剥东西，抓起一把刀把胡萝卜切开。
-IGwsxNxUpo_000002_000012#zh#0 一个身穿黑色上衣蓝色裤子的人拿着斧子在劈柴。
-IGwsxNxUpo_000002_000012#zh#1 一个女人一斧头就把一块木头给劈成两半。
-IGwsxNxUpo_000002_000012#zh#2 一个女人正在用斧头劈柴，成功后兴奋地叫出了声。
-IGwsxNxUpo_000002_000012#zh#3 一个女人手握斧头将一个圆木劈成两半。
-IGwsxNxUpo_000002_000012#zh#4 在白天的户外，一个女人拿着一把斧头，在劈砍木材。
-IGwsxNxUpo_000002_000012#zh#5 一位妇女把斧头举在空中，举起手去砍一块木头。
-IGwsxNxUpo_000002_000012#zh#6 一个女人在一堆木头前面拿着斧头劈开一个圆木头。
-IGwsxNxUpo_000002_000012#zh#7 一个人在看另一个女人砍开了一个木头，因为她听起来很惊讶。
-IGwsxNxUpo_000002_000012#zh#8 一个女人正试图用一把斧头劈开一块木头，然后成功了。
-IGwsxNxUpo_000002_000012#zh#9 一个女人用斧头砍了一根木头，然后把裂口拉开。
xeoH1CgrGNo_000000_000010#zh#0 白天的户外，一个小男孩，拿着斧头在劈砍木头。
xeoH1CgrGNo_000000_000010#zh#1 一个小男孩在用斧子劈树墩，另一个年轻人在旁边用手机拍了下来。
xeoH1CgrGNo_000000_000010#zh#2 一个光着膀子的小男孩把一截树干扶起来，拿起斧子要砍树干，旁边另一个小男孩在用手机拍他。
xeoH1CgrGNo_000000_000010#zh#3 一个男人正在用斧头劈木材，有个男人走了过去。
xeoH1CgrGNo_000000_000010#zh#4 一个穿着蓝色牛仔裤光着膀子的小男孩，手里面拿着一把斧头，在劈着木头。
xeoH1CgrGNo_000000_000010#zh#5 一个年轻男子记录另一名男子在用斧头砍一块树。
xeoH1CgrGNo_000000_000010#zh#6 一群人看着一个男人用斧头砍一个大木材来生火。
xeoH1CgrGNo_000000_000010#zh#7 一个站在后院的年轻男孩在用斧头劈柴，旁边穿白色衣服的男孩子在给他拍照。
xeoH1CgrGNo_000000_000010#zh#8 一个光着上身的男孩用斧头劈着木桩。
xeoH1CgrGNo_000000_000010#zh#9 一个男孩在用斧头劈木头，另一个的男孩用智能手机记录了下来。
pmH650EmzaI_000004_000014#zh#0 一个身穿色灰背心蓝色短裤的男人在扔着木块。
pmH650EmzaI_000004_000014#zh#1 一个男人手拿锄头，将地面上的木柴劈成两半。
pmH650EmzaI_000004_000014#zh#2 一个人将所有的木头都砍了堆成一大堆。
pmH650EmzaI_000004_000014#zh#3 一个穿着白色上衣蓝色短裤的男人在室外劈柴。
pmH650EmzaI_000004_000014#zh#4 一个男人把树砍成一截一截，然后堆成了一座小山。
pmH650EmzaI_000004_000014#zh#5 一名男子拿着斧头，正在砍伐木材把它们堆成一堆篝火。
pmH650EmzaI_000004_000014#zh#6 一个带着帽子的男人把木头堆成了一个木头堆。
pmH650EmzaI_000004_000014#zh#7 一个男人正在将柴劈开，然后将劈好的柴堆放在一起。
pmH650EmzaI_000004_000014#zh#8 一名男子正在使用斧头砍木头并将其堆成一堆。
pmH650EmzaI_000004_000014#zh#9 一个男人在时间流逝中切割木材并将其放入一堆。
6FiNye9H70M_000000_000010#zh#0 一个人拿着圆形柱体在地面上。上下的翻动。另外两个人拿的铁楸在旁边观看。
6FiNye9H70M_000000_000010#zh#1 两个女人和一个男人在海边勘察地质情况。
6FiNye9H70M_000000_000010#zh#2 几个穿着不同款式衣服的人在海边挖洞。
6FiNye9H70M_000000_000010#zh#3 几个穿着不同款式衣服的人，手上拿着铁锹在沙滩上挖东西。
6FiNye9H70M_000000_000010#zh#4 三个人站在海边挖着沙子，一个穿黑色衣服的女人用力的往下压着工具。
6FiNye9H70M_000000_000010#zh#5 人们正在挖沙子，风刮得太厉害了。
6FiNye9H70M_000000_000010#zh#6 几个人在沙滩用铁锹铲着脚下的沙子。
6FiNye9H70M_000000_000010#zh#7 当一个女人扭动着身子，把全部的重量放在一把铲子上，然后她停下来，露出一块从铲子上掉下来的泥土。
6FiNye9H70M_000000_000010#zh#8 一名女子在海滩上打洞, 另外两人拿着铲子站在那里。
6FiNye9H70M_000000_000010#zh#9 两个女人一个男人，在沙地上拿着铁锹挖洞。
OxiWoQOzZaM_000376_000386#zh#0 两个男人站在泥潭上面手了拿着锄子。
OxiWoQOzZaM_000376_000386#zh#1 在一个泥滩区域，几个男人在交谈什么，边上有游艇，还有一个个黑色的盒子。
OxiWoQOzZaM_000376_000386#zh#2 在海边，他们手里拿着铁家伙，商议着要具体怎么做。
OxiWoQOzZaM_000376_000386#zh#3 一群人站在一片泥土地，并且交谈着什么。
OxiWoQOzZaM_000376_000386#zh#4 水边的地上放着许多的方形的框子，旁边站着两个拿着工具的男人。
OxiWoQOzZaM_000376_000386#zh#5 有几个人在沙子里建造一些东西，并试图确定中间的位置在哪里。
OxiWoQOzZaM_000376_000386#zh#6 一群男人站在沙滩上谈论他们正在做的事情。
OxiWoQOzZaM_000376_000386#zh#7 海滩上有男性沙子里有小盒子，后面还有船只。
OxiWoQOzZaM_000376_000386#zh#8 一个穿着白色上衣的男人在海边哟呵着什么。
OxiWoQOzZaM_000376_000386#zh#9 一群人站在泥泞的海滩上, 泥地上有几个盒子。
jiKZmCswPeE_000001_000011#zh#0 沙滩上有两个大人和一个小孩在抓蛤蜊。
jiKZmCswPeE_000001_000011#zh#1 一个男人和一个男孩在地里挖东西，结果小男孩挖出来了。
jiKZmCswPeE_000001_000011#zh#2 一个穿着紫色衣服的人把手伸到一个洞里抓了一条鱼。
jiKZmCswPeE_000001_000011#zh#3 一个穿着蓝色外套，绿色鞋子的小男孩和一个戴着帽子的男人在抓贝壳。
jiKZmCswPeE_000001_000011#zh#4 敞亮的室外，一名身穿蓝色外套的男孩，手里拿着一个灰色的物品。
jiKZmCswPeE_000001_000011#zh#5 一个孩子在一名男人的帮主下从沙子里捞起一只蛤蜊。
jiKZmCswPeE_000001_000011#zh#6 在一片泥泞里面，一个大人正在教着一个小孩捉鱼。
jiKZmCswPeE_000001_000011#zh#7 一个男人和一个孩子把手伸进泥里, 孩子把一个海洋生物拉了出来。
jiKZmCswPeE_000001_000011#zh#8 一个男人正在帮他的儿子挖掘一只被埋在沙子里的小海龟。
jiKZmCswPeE_000001_000011#zh#9 一个男人和一个小孩都把手伸进地上的一个洞里，这个小男孩从洞里将一个物品拉了出来。
kh6KufiQW5A_000097_000107#zh#0 两个穿着短袖的白胡子老爷爷在湖里捞东西。
kh6KufiQW5A_000097_000107#zh#1 两个穿着花裤衩的老爷爷站在水里拿着渔网玩耍。
kh6KufiQW5A_000097_000107#zh#2 一个穿黑色短袖的男子，用工具在水里捞东西。
kh6KufiQW5A_000097_000107#zh#3 一个穿着黑色衣服和红色衣服的人站在水里。
kh6KufiQW5A_000097_000107#zh#4 在一个阳光明媚的天气，有两个男人，其中有一个男人手里拿着一个叉子。
kh6KufiQW5A_000097_000107#zh#5 大海中的老人在他的夹击冒险中并没有取得多大的成功。
kh6KufiQW5A_000097_000107#zh#6 在一个河面上，两个人正在拿着东西插着鱼。
kh6KufiQW5A_000097_000107#zh#7 一名男子拿着一把耙子在水中, 把它举起来, 然后把它拉了出来。
kh6KufiQW5A_000097_000107#zh#8 年长的绅士从水里舀出一个看起来像耙子的装置，看看他抓到了什么。
kh6KufiQW5A_000097_000107#zh#9 一个男人站在水深的水中，手里拿着一把耙子，而另一个人站在他旁边看着。
6ZojdU1fPOo_000001_000011#zh#0 一群人户外在看表演，跟着声音鼓掌。
6ZojdU1fPOo_000001_000011#zh#1 成千上万的人聚集在一起看演出，大部分人都跟着节奏在鼓掌。
6ZojdU1fPOo_000001_000011#zh#2 在一个大场地里一大群人随着声响拍打着双手。
6ZojdU1fPOo_000001_000011#zh#3 在昏暗的场景中有一群人，站着伸出双手摇晃。
6ZojdU1fPOo_000001_000011#zh#4 在一个演唱会的看场上面，坐了很多人一眼望去人山人海。
6ZojdU1fPOo_000001_000011#zh#5 一大群人在体育馆里高高地鼓掌叫好。
6ZojdU1fPOo_000001_000011#zh#6 看台上的一大群人坐在欢呼雀跃的鼓掌。
6ZojdU1fPOo_000001_000011#zh#7 一大群观众在一个大体育场里互相鼓掌。
6ZojdU1fPOo_000001_000011#zh#8 在一个活动中, 大批群众正在为台上的表演者鼓掌。
